# V t o r D 	 [ m / s ]
0.5350	 38271.44920272229
0.5400	 38169.25984564645
0.5450	 38056.91846876643
0.5500	 37934.225488522825
0.5550	 37800.97237618638
0.5600	 37656.98397828054
0.5650	 37502.10464465026
0.5700	 37336.13846244301
0.5750	 37158.79159558358
0.5800	 36969.95566138865
0.5850	 36769.454980507086
0.5900	 36557.07634152399
0.5950	 36332.61525156185
0.6000	 36095.881786311635
0.6050	 35846.64112163167
0.6100	 35584.73569404126
0.6150	 35310.01058978718
0.6200	 35022.1799936367
0.6250	 34721.100405784025
0.6300	 34406.57839722451
0.6350	 34078.39890904689
0.6400	 33736.8464066613
0.6450	 33383.081270892384
0.6500	 33018.352731472485
0.6550	 32644.05471391334
0.6600	 32261.47954138095
0.6650	 31871.94975833198
0.6700	 31476.810001049787
0.6750	 31077.405819520343
0.6800	 30675.011718483656
0.6850	 30271.04640882055
0.6900	 29866.871910466863
0.6950	 29463.84175384749
0.7000	 29063.324017398536
0.7050	 28666.703441567402
0.7100	 28275.325318791227
0.7150	 27890.62127485311
0.7200	 27513.99351397217
0.7250	 27146.837550289536
0.7300	 26790.55823449638
0.7350	 26446.556447579045
0.7400	 26116.250030564483
0.7450	 25801.083443820786
0.7500	 25502.494274223507
0.7550	 25221.927561896337
0.7600	 24960.74779486945
0.7650	 24720.47427871671
0.7700	 24502.553196608296
0.7750	 24308.440787140782
0.7800	 24139.579552158873
0.7850	 23997.409490763133
0.7900	 23883.464041803007
0.7950	 23799.22689586135
0.8000	 23746.06766356801
0.8050	 23725.55871571619
0.8100	 23739.093093802083
0.8150	 23783.76875031653
0.8200	 23850.836018094666
0.8250	 23931.122980503165
0.8300	 24015.405967256695
0.8350	 24094.35837275158
0.8400	 24158.734221974762
0.8450	 24199.22166751877
0.8500	 24206.33134318198
0.8550	 24170.73729673565
0.8600	 24083.065963033623
0.8650	 23933.74083749291
0.8700	 23713.296198247346
0.8750	 23412.286335887
0.8800	 23021.000732554472
0.8850	 22531.96854944318
0.8900	 21948.769325619305
0.8950	 21278.884594332954
0.9000	 20530.17106291297
0.9050	 19710.156611049315
0.9100	 18826.67737762798
0.9150	 17887.486716773354
0.9200	 16900.262464978106
0.9250	 15873.084044260388
0.9300	 14847.428314924477
0.9350	 13949.928068475116
0.9400	 13320.080569725134
0.9450	 13098.17930725061
0.9500	 13424.538748753097
0.9550	 14440.098531527563
0.9600	 16285.81986457595
0.9650	 19063.196465976813
0.9700	 22642.434493302004
0.9750	 26811.709511675905
0.9800	 31357.015493671486
0.9850	 36065.93965155472
0.9900	 40712.78064242199
0.9950	 45088.019837469175
1.000	 48980.90372782411
