# V t o r C 	 [ m / s ]
0.000	 34350.4997089596
5.000e-3	 34413.54654893815
0.01000	 34476.5933889167
0.01500	 34539.640228895245
0.02000	 34602.6870688738
0.02500	 34665.733908852344
0.03000	 34728.7807488309
0.03500	 34791.82758880944
0.04000	 34854.874428787996
0.04500	 34917.92126876654
0.05000	 34857.88872667933
0.05500	 34780.70984805475
0.06000	 34695.424190672304
0.06500	 34602.904864930795
0.07000	 34504.177591006715
0.07500	 34400.25332820231
0.08000	 34292.11603507233
0.08500	 34180.75685005357
0.09000	 34067.08348512581
0.09500	 33952.13291333304
0.1000	 33836.97848971501
0.1050	 33722.64005058921
0.1100	 33611.88394145304
0.1150	 33504.810849027854
0.1200	 33400.70487241811
0.1250	 33298.044508857085
0.1300	 33196.48737838778
0.1350	 33097.8308069645
0.1400	 33002.20388162288
0.1450	 32909.59939621498
0.1500	 32819.788157844676
0.1550	 32732.433876752802
0.1600	 32647.711792035356
0.1650	 32565.769061319075
0.1700	 32486.73773641475
0.1750	 32410.319609410995
0.1800	 32336.10923886605
0.1850	 32264.41494689718
0.1900	 32195.44841404203
0.1950	 32129.028924198552
0.2000	 32064.931184377434
0.2050	 32003.1617616509
0.2100	 31943.600899519795
0.2150	 31886.272993399038
0.2200	 31831.312998904534
0.2250	 31778.61890093406
0.2300	 31728.108086339103
0.2350	 31679.72342366764
0.2400	 31633.260841832373
0.2450	 31588.865867682565
0.2500	 31546.499700034678
0.2550	 31506.094560440917
0.2600	 31467.613199601856
0.2650	 31430.938363058598
0.2700	 31396.048184575273
0.2750	 31362.880103270076
0.2800	 31331.593405815842
0.2850	 31302.012696907666
0.2900	 31274.047528347895
0.2950	 31247.488730452835
0.3000	 31222.455792153065
0.3050	 31198.935891925303
0.3100	 31176.981854893198
0.3150	 31156.42404888177
0.3200	 31137.187284362695
0.3250	 31119.105223692968
0.3300	 31102.360883359237
0.3350	 31086.85737513205
0.3400	 31072.50326217871
0.3450	 31059.222303857438
0.3500	 31046.987095312157
0.3550	 31035.726325728094
0.3600	 31025.37498584127
0.3650	 31016.016803394024
0.3700	 31007.480482754552
0.3750	 30999.721960910887
0.3800	 30992.675568897208
0.3850	 30986.243209260236
0.3900	 30980.46348073947
0.3950	 30975.322013297864
0.4000	 30970.674227490847
0.4050	 30966.437887214535
0.4100	 30962.61500967284
0.4150	 30959.212123717298
0.4200	 30956.084456209148
0.4250	 30953.209934998296
0.4300	 30950.516892114898
0.4350	 30947.92259922983
0.4400	 30945.363608968157
0.4450	 30942.87316860182
0.4500	 30940.289432093272
0.4550	 30937.636841643754
0.4600	 30934.848511243505
0.4650	 30931.813398233546
0.4700	 30928.456069473013
0.4750	 30924.78662247635
0.4800	 30920.728278328104
0.4850	 30916.174720377454
0.4900	 30911.126421594003
0.4950	 30905.48706968194
0.5000	 30899.190275724228
0.5050	 30892.19461536931
0.5100	 30884.43780005922
0.5150	 30875.820196484616
0.5200	 30866.374397388932
0.5250	 30855.926817030962
0.5300	 30844.41603198217
0.5350	 30831.851423315158
0.5400	 30818.15393015805
0.5450	 30803.247756587934
0.5500	 30787.060699648362
0.5550	 30769.51334213926
0.5600	 30750.55347445082
0.5650	 30730.145159876538
0.5700	 30708.21991097957
0.5750	 30684.62849736761
0.5800	 30659.37421472739
0.5850	 30632.40557986658
0.5900	 30603.640101546807
0.5950	 30573.00243829673
0.6000	 30540.429498562928
0.6050	 30505.82016296656
0.6100	 30469.13872529168
0.6150	 30430.352612699644
0.6200	 30389.316707280548
0.6250	 30346.008179426357
0.6300	 30300.361592105535
0.6350	 30252.289926958056
0.6400	 30201.752917691872
0.6450	 30148.661788325076
0.6500	 30092.89643154964
0.6550	 30034.461244929593
0.6600	 29973.262374855527
0.6650	 29909.2267008601
0.6700	 29842.29523636545
0.6750	 29772.403661531687
0.6800	 29699.412461502987
0.6850	 29623.313615591254
0.6900	 29544.039100755148
0.6950	 29461.505896105104
0.7000	 29375.63854391447
0.7050	 29286.371831042376
0.7100	 29193.593511905397
0.7150	 29097.27316156863
0.7200	 28997.344601889643
0.7250	 28893.728286766254
0.7300	 28786.347968038604
0.7350	 28675.1165656185
0.7400	 28559.958729820766
0.7450	 28440.822174485027
0.7500	 28317.641484670003
0.7550	 28190.35367302261
