        R                 Z              n_n_slow        n_n_thermal        n_n_total       izn_rate_slow    izn_rate_thermal   izn_rate_total  
           1.39851          -0.84697       5.31682E+09       2.22162E+13       2.22215E+13       9.41609E+12       3.93449E+16       3.93543E+16
           1.38128          -0.90072       1.29816E+11       3.65377E+13       3.66675E+13       2.80318E+14       7.88978E+16       7.91781E+16
           1.49225          -0.85743       3.21434E+09       1.86312E+13       1.86344E+13       6.39934E+12       3.70924E+16       3.70988E+16
           1.34403          -0.81850       2.22071E+10       2.57562E+13       2.57784E+13       3.81215E+13       4.42140E+16       4.42521E+16
           1.51157          -0.78693       2.60848E+07       8.28362E+12       8.28365E+12       4.29611E+10       1.36429E+16       1.36430E+16
           1.37677          -1.08987       2.57191E+14       3.02312E+14       5.59503E+14       8.99562E+17       1.05738E+18       1.95694E+18
           1.28537          -1.21249       3.44050E+15       1.05232E+15       4.49282E+15       9.98923E+17       3.05533E+17       1.30446E+18
           1.43564          -0.83035       5.14492E+08       1.59424E+13       1.59429E+13       9.55943E+11       2.96215E+16       2.96225E+16
           1.26675          -0.70663       1.93639E+10       2.93902E+13       2.94096E+13       2.56568E+13       3.89415E+16       3.89672E+16
           1.23803          -0.75757       1.06526E+12       5.18068E+13       5.28721E+13       1.39682E+15       6.79315E+16       6.93284E+16
           1.25246          -0.61650       5.67013E+09       2.47887E+13       2.47944E+13       7.86767E+12       3.43959E+16       3.44038E+16
           1.22348          -0.65824       2.60752E+11       4.40039E+13       4.42647E+13       3.62805E+14       6.12261E+16       6.15889E+16
           1.21229          -0.46036       4.47589E+09       2.93575E+13       2.93619E+13       5.54090E+12       3.63429E+16       3.63484E+16
           1.21307          -0.51008       2.11026E+10       3.45114E+13       3.45325E+13       2.85465E+13       4.66852E+16       4.67138E+16
           1.24768          -0.57056       1.30209E+09       2.11182E+13       2.11195E+13       1.63632E+12       2.65390E+16       2.65406E+16
           2.20095           0.20233       2.04125E+14       1.00218E+14       3.04343E+14       9.27505E+16       4.55371E+16       1.38288E+17
           1.21862          -0.60866       5.76823E+10       3.86847E+13       3.87424E+13       7.14343E+13       4.79075E+16       4.79789E+16
           1.19406          -0.70185       9.45851E+12       7.18540E+13       8.13125E+13       1.24805E+16       9.48111E+16       1.07292E+17
           1.36982          -0.75736       2.55526E+08       1.25672E+13       1.25674E+13       3.86718E+11       1.90194E+16       1.90198E+16
           1.27643          -0.75197       9.29082E+10       3.38462E+13       3.39391E+13       1.42372E+14       5.18656E+16       5.20080E+16
           1.45771          -0.76633       3.53848E+06       6.72339E+12       6.72339E+12       5.46735E+09       1.03884E+16       1.03884E+16
           1.42224          -0.78013       3.58144E+07       1.02266E+13       1.02266E+13       5.50599E+10       1.57220E+16       1.57220E+16
           1.04201           0.09900       6.27593E+15       1.09666E+15       7.37260E+15       3.54856E+18       6.20079E+17       4.16864E+18
           1.29486          -0.65961       3.26728E+08       1.48359E+13       1.48362E+13       4.26192E+11       1.93523E+16       1.93527E+16
           1.35506          -0.72375       6.71886E+07       1.02301E+13       1.02302E+13       9.30732E+10       1.41713E+16       1.41714E+16
           1.06234           0.47807       2.39368E+15       6.84113E+14       3.07779E+15       2.95311E+18       8.43997E+17       3.79710E+18
           2.21180          -0.15490       1.17771E+14       1.38120E+14       2.55892E+14       5.65946E+16       6.63733E+16       1.22968E+17
           1.30430          -0.70016       1.36972E+09       1.76870E+13       1.76883E+13       1.97312E+12       2.54784E+16       2.54804E+16
           1.32874          -0.77912       5.48901E+09       2.19679E+13       2.19734E+13       8.21045E+12       3.28596E+16       3.28678E+16
           2.28274           0.41976       5.21573E+15       1.40547E+15       6.62120E+15       6.88706E+17       1.85585E+17       8.74291E+17
           1.04866           0.26705       4.93393E+15       1.08416E+15       6.01810E+15       2.54122E+18       5.58398E+17       3.09962E+18
