 Global NB Heating and Current Drive Parameters
 ----------------------------------------------
 TOTALS:
 Total Absorbed Power      =    7.6290 MW
 Total Lost Power          =    0.0000 MW
 Total NB Driven Current   =          NaN A
 Total NBCD Efficiency     =          NaN A/W
 Total Beam Beta           =  0.66871E-02
 Taus                      =  0.39717E-01 s
 Volp                      =  0.13674E+02 m3

 Information per Beamline and Energy Group:
 -----------------------------------------
                       Beam 1          Beam 2          Beam 3
                       ------          ------          ------
 Absorbed Power     0.76290E+01
 Lost Power         0.00000E+00
 NB driven current          NaN
 NBCD efficiency            NaN
 NBCD gamma                 NaN

 Beam Shinethrough
    energy group 1  0.00000E+00
    energy group 2  0.00000E+00
    energy group 3  0.00000E+00

 Beam-Target Parameters
 ----------------------
 Total Beam-Target Fusion Power   =          NaN MW
 Total Power to Charged Particles =          NaN MW
 Total DT Neutron Rate            =  0.00000E+00 n/s
 Total DD Neutron Rate            =          NaN n/s

 Neutral Beam Deposition Profiles
 --------------------------------
 Beam  1
     rho      hofr_1       hofr_2       hofr_3
  0.72000  0.45561E+00  0.43264E+00  0.42443E+00
  0.74000  0.45407E+00  0.43054E+00  0.42235E+00
  0.76000  0.45255E+00  0.42847E+00  0.42030E+00
  0.78000  0.45105E+00  0.42644E+00  0.41830E+00
  0.80000  0.44959E+00  0.42444E+00  0.41634E+00
  0.82000  0.44817E+00  0.42249E+00  0.41443E+00
  0.84000  0.44677E+00  0.42056E+00  0.41254E+00
  0.86000  0.44538E+00  0.41866E+00  0.41069E+00
  0.88000  0.44405E+00  0.41681E+00  0.40889E+00
  0.90000  0.44279E+00  0.41501E+00  0.40713E+00
  0.92000  0.44157E+00  0.41324E+00  0.40540E+00
  0.94000  0.44041E+00  0.41150E+00  0.40369E+00
  0.96000  0.43946E+00  0.40985E+00  0.40204E+00
  0.98000  0.43874E+00  0.40832E+00  0.40047E+00
  1.00000  0.00000E+00  0.00000E+00  0.00000E+00

   rho     jnbtot      pNBe        pNBi        nbfast      pressb      pfusb      dvol      dA
 0.0000         NaN  0.4831E+00  0.1786E+01  0.9098E+19  0.3945E+05         NaN  0.1229E-02  0.1169E-03
 0.0200         NaN  0.1121E+01  0.4166E+01  0.2125E+20  0.9174E+05         NaN  0.9835E-02  0.9353E-03
 0.0400         NaN  0.7403E+00  0.2746E+01  0.1407E+20  0.6071E+05         NaN  0.1968E-01  0.1871E-02
 0.0600         NaN  0.6565E+00  0.2432E+01  0.1252E+20  0.5396E+05         NaN  0.2953E-01  0.2808E-02
 0.0800         NaN  0.6128E+00  0.2267E+01  0.1172E+20  0.5048E+05         NaN  0.3941E-01  0.3747E-02
 0.1000         NaN  0.5773E+00  0.2128E+01  0.1113E+20  0.4783E+05         NaN  0.4931E-01  0.4689E-02
 0.1200         NaN  0.5465E+00  0.2008E+01  0.1063E+20  0.4554E+05         NaN  0.5924E-01  0.5633E-02
 0.1400         NaN  0.5177E+00  0.1896E+01  0.1016E+20  0.4340E+05         NaN  0.6921E-01  0.6581E-02
 0.1600         NaN  0.4897E+00  0.1788E+01  0.9692E+19  0.4130E+05         NaN  0.7923E-01  0.7534E-02
 0.1800         NaN  0.4617E+00  0.1675E+01  0.9223E+19  0.3916E+05         NaN  0.8930E-01  0.8492E-02
 0.2000         NaN  0.4341E+00  0.1565E+01  0.8756E+19  0.3703E+05         NaN  0.9942E-01  0.9455E-02
 0.2200         NaN  0.4071E+00  0.1459E+01  0.8292E+19  0.3493E+05         NaN  0.1096E+00  0.1042E-01
 0.2400         NaN  0.3808E+00  0.1356E+01  0.7833E+19  0.3286E+05         NaN  0.1199E+00  0.1140E-01
 0.2600         NaN  0.3563E+00  0.1256E+01  0.7389E+19  0.3085E+05         NaN  0.1302E+00  0.1238E-01
 0.2800         NaN  0.3328E+00  0.1161E+01  0.6958E+19  0.2891E+05         NaN  0.1406E+00  0.1337E-01
 0.3000         NaN  0.3103E+00  0.1072E+01  0.6544E+19  0.2706E+05         NaN  0.1512E+00  0.1438E-01
 0.3200         NaN  0.2891E+00  0.9893E+00  0.6149E+19  0.2531E+05         NaN  0.1618E+00  0.1538E-01
 0.3400         NaN  0.2606E+00  0.8800E+00  0.5568E+19  0.2279E+05         NaN  0.1725E+00  0.1640E-01
 0.3600         NaN  0.2329E+00  0.7759E+00  0.4999E+19  0.2035E+05         NaN  0.1833E+00  0.1743E-01
 0.3800         NaN  0.2138E+00  0.7025E+00  0.4610E+19  0.1866E+05         NaN  0.1943E+00  0.1847E-01
 0.4000         NaN  0.1983E+00  0.6428E+00  0.4298E+19  0.1730E+05         NaN  0.2053E+00  0.1953E-01
 0.4200         NaN  0.1863E+00  0.5930E+00  0.4030E+19  0.1613E+05         NaN  0.2165E+00  0.2059E-01
 0.4400         NaN  0.1759E+00  0.5496E+00  0.3798E+19  0.1511E+05         NaN  0.2279E+00  0.2167E-01
 0.4600         NaN  0.1668E+00  0.5113E+00  0.3593E+19  0.1421E+05         NaN  0.2394E+00  0.2276E-01
 0.4800         NaN  0.1586E+00  0.4770E+00  0.3409E+19  0.1341E+05         NaN  0.2510E+00  0.2387E-01
 0.5000         NaN  0.1523E+00  0.4471E+00  0.3239E+19  0.1266E+05         NaN  0.2628E+00  0.2499E-01
 0.5200         NaN  0.1465E+00  0.4199E+00  0.3083E+19  0.1198E+05         NaN  0.2747E+00  0.2613E-01
 0.5400         NaN  0.1413E+00  0.3950E+00  0.2941E+19  0.1135E+05         NaN  0.2868E+00  0.2728E-01
 0.5600         NaN  0.1365E+00  0.3721E+00  0.2809E+19  0.1078E+05         NaN  0.2991E+00  0.2845E-01
 0.5800         NaN  0.1331E+00  0.3518E+00  0.2681E+19  0.1022E+05         NaN  0.3116E+00  0.2963E-01
 0.6000         NaN  0.1299E+00  0.3330E+00  0.2562E+19  0.9701E+04         NaN  0.3243E+00  0.3084E-01
 0.6200         NaN  0.1270E+00  0.3154E+00  0.2451E+19  0.9216E+04         NaN  0.3371E+00  0.3206E-01
 0.6400         NaN  0.1244E+00  0.2990E+00  0.2346E+19  0.8758E+04         NaN  0.3502E+00  0.3330E-01
 0.6600         NaN  0.1228E+00  0.2840E+00  0.2241E+19  0.8304E+04         NaN  0.3635E+00  0.3456E-01
 0.6800         NaN  0.1213E+00  0.2698E+00  0.2142E+19  0.7871E+04         NaN  0.3770E+00  0.3585E-01
 0.7000         NaN  0.1200E+00  0.2563E+00  0.2047E+19  0.7459E+04         NaN  0.3907E+00  0.3715E-01
 0.7200         NaN  0.1189E+00  0.2434E+00  0.1955E+19  0.7063E+04         NaN  0.4046E+00  0.3847E-01
 0.7400         NaN  0.1185E+00  0.2312E+00  0.1864E+19  0.6665E+04         NaN  0.4188E+00  0.3982E-01
 0.7600         NaN  0.1182E+00  0.2194E+00  0.1775E+19  0.6281E+04         NaN  0.4332E+00  0.4119E-01
 0.7800         NaN  0.1181E+00  0.2081E+00  0.1689E+19  0.5908E+04         NaN  0.4478E+00  0.4258E-01
 0.8000         NaN  0.1181E+00  0.1972E+00  0.1605E+19  0.5547E+04         NaN  0.4627E+00  0.4400E-01
 0.8200         NaN  0.1185E+00  0.1863E+00  0.1520E+19  0.5185E+04         NaN  0.4779E+00  0.4544E-01
 0.8400         NaN  0.1191E+00  0.1757E+00  0.1437E+19  0.4828E+04         NaN  0.4933E+00  0.4691E-01
 0.8600         NaN  0.1199E+00  0.1651E+00  0.1353E+19  0.4474E+04         NaN  0.5090E+00  0.4841E-01
 0.8800         NaN  0.1207E+00  0.1544E+00  0.1269E+19  0.4120E+04         NaN  0.5250E+00  0.4993E-01
 0.9000         NaN  0.1217E+00  0.1438E+00  0.1184E+19  0.3770E+04         NaN  0.5413E+00  0.5147E-01
 0.9200         NaN  0.1228E+00  0.1330E+00  0.1098E+19  0.3420E+04         NaN  0.5579E+00  0.5305E-01
 0.9400         NaN  0.1234E+00  0.1211E+00  0.1004E+19  0.3046E+04         NaN  0.5747E+00  0.5465E-01
 0.9600         NaN  0.1222E+00  0.1037E+00  0.8751E+18  0.2546E+04         NaN  0.5919E+00  0.5629E-01
 0.9800         NaN  0.1169E+00  0.6291E-01  0.5976E+18  0.1548E+04         NaN  0.6094E+00  0.5795E-01
 1.0000  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
