# V t o r D 	 [ m / s ]
0.000	 33847.405675597634
5.000e-3	 34277.40807817803
0.01000	 34689.628778159014
0.01500	 35084.33703065643
0.02000	 35461.836953830214
0.02500	 35822.445791708305
0.03000	 36166.45364037313
0.03500	 36494.18631951161
0.04000	 36805.98061517892
0.04500	 37102.15615997565
0.05000	 37383.09887088246
0.05500	 37649.08942148845
0.06000	 37900.55902144884
0.06500	 38137.576758475414
0.07000	 38360.75628616789
0.07500	 38570.452791619355
0.08000	 38767.11321696812
0.08500	 38951.06997237729
0.09000	 39122.381509248786
0.09500	 39281.76935753728
0.1000	 39429.612920438965
0.1050	 39566.35542613706
0.1100	 39695.4070710675
0.1150	 39814.15866644019
0.1200	 39923.00544359504
0.1250	 40019.05190855655
0.1300	 40105.48775102835
0.1350	 40183.23238713681
0.1400	 40252.77422333012
0.1450	 40314.49856700146
0.1500	 40368.56191865134
0.1550	 40415.32983365734
0.1600	 40455.40930013319
0.1650	 40489.37766564296
0.1700	 40517.50567429801
0.1750	 40540.0348700796
0.1800	 40557.427492849914
0.1850	 40569.95578874779
0.1900	 40577.86405138009
0.1950	 40581.9113361859
0.2000	 40582.649537044716
0.2050	 40579.997513699076
0.2100	 40574.04080618044
0.2150	 40565.5766894508
0.2200	 40555.03274913542
0.2250	 40542.72707077223
0.2300	 40529.000455396235
0.2350	 40513.5838215024
0.2400	 40497.21346205169
0.2450	 40480.52565059175
0.2500	 40463.5077785096
0.2550	 40446.409931703936
0.2600	 40429.7048293792
0.2650	 40413.52158307639
0.2700	 40397.929230858164
0.2750	 40383.38535852288
0.2800	 40370.189166553726
0.2850	 40358.5645975002
0.2900	 40348.73390364625
0.2950	 40340.86272346905
0.3000	 40335.0710964231
0.3050	 40331.72732896541
0.3100	 40330.96669748431
0.3150	 40332.9292087289
0.3200	 40337.7600444344
0.3250	 40345.65507138009
0.3300	 40356.71409911792
0.3350	 40371.04158919801
0.3400	 40388.851327588294
0.3450	 40410.21421037715
0.3500	 40435.22036987994
0.3550	 40463.93912765712
0.3600	 40496.42272342885
0.3650	 40532.735381169216
0.3700	 40572.99813416901
0.3750	 40617.2872719953
0.3800	 40665.46483467067
0.3850	 40717.618371021366
0.3900	 40773.78486594602
0.3950	 40833.96678731136
0.4000	 40898.16275976158
0.4050	 40966.43694551115
0.4100	 41038.62337691321
0.4150	 41114.66296970029
0.4200	 41194.629327609444
0.4250	 41278.40953949938
0.4300	 41365.81900371284
0.4350	 41456.9207819683
0.4400	 41551.68707505574
0.4450	 41649.901717843655
0.4500	 41751.436756849274
0.4550	 41856.2940573525
0.4600	 41964.251066691424
0.4650	 42075.273626270864
0.4700	 42189.19684753994
0.4750	 42305.88786487567
0.4800	 42425.103064001996
0.4850	 42546.87597144297
0.4900	 42670.9028492726
0.4950	 42797.046704534056
0.5000	 42925.19797138377
0.5050	 43055.19272510092
0.5100	 43186.79367628115
0.5150	 43319.77203315985
0.5200	 43454.084861650124
0.5250	 43589.413911951415
0.5300	 43725.66187802245
0.5350	 43862.634784868846
0.5400	 44000.0629572575
0.5450	 44137.78183264651
0.5500	 44275.67082255196
0.5550	 44413.47595352673
0.5600	 44550.914634452136
0.5650	 44687.89217082335
0.5700	 44824.17139270961
0.5750	 44959.54990045396
0.5800	 45093.904909826255
0.5850	 45226.90596452864
0.5900	 45358.42498323567
0.5950	 45488.33408736163
0.6000	 45616.36562484105
0.6050	 45742.232364569805
0.6100	 45865.92032691991
0.6150	 45987.21314210883
0.6200	 46105.90507905986
0.6250	 46221.84302759266
0.6300	 46334.73560359887
0.6350	 46444.55308210415
0.6400	 46551.05050677485
0.6450	 46654.170591886475
0.6500	 46753.722766007755
0.6550	 46849.468554816405
0.6600	 46941.35180621896
0.6650	 47029.27984795603
0.6700	 47112.973196252
0.6750	 47192.43325073676
0.6800	 47267.56835956523
0.6850	 47338.15067307123
0.6900	 47404.14041300189
0.6950	 47465.50919471265
0.7000	 47521.939776362466
0.7050	 47573.15599023255
0.7100	 47618.39700752696
0.7150	 47656.61502196013
0.7200	 47686.49654308916
0.7250	 47706.05131821555
0.7300	 47712.70731460594
0.7350	 47702.94687743232
0.7400	 47672.58163541263
0.7450	 47615.9901837066
0.7500	 47526.95292186195
0.7550	 47398.134225806396
0.7600	 47219.7098581611
0.7650	 46984.924267650975
0.7700	 46687.04041656749
0.7750	 46320.996262992325
0.7800	 45884.34119547582
0.7850	 45377.93196000534
0.7900	 44806.579519121566
0.7950	 44179.025010706915
0.8000	 43508.18634342912
0.8050	 42810.2713825657
0.8100	 42104.03600665361
0.8150	 41408.84980976231
0.8200	 40743.37571834958
0.8250	 40122.21169986029
0.8300	 39555.67304869768
0.8350	 39049.41636192725
0.8400	 38604.36935975319
0.8450	 38217.72925449309
0.8500	 37883.298523870646
0.8550	 37593.55351811838
0.8600	 37340.56971592723
0.8650	 37116.60404707939
0.8700	 36914.11291577168
0.8750	 36726.57591871957
0.8800	 36546.265951544825
0.8850	 36367.377572984835
0.8900	 36184.64380271436
0.8950	 35993.331582545805
0.9000	 35789.658312933905
0.9050	 35570.174927113
0.9100	 35332.53461903999
0.9150	 35075.891952218524
0.9200	 34800.78411963815
0.9250	 34509.48050422014
0.9300	 34204.19913556276
0.9350	 33889.31737409194
0.9400	 33570.41022193983
0.9450	 33256.17444379775
0.9500	 32956.96764006529
0.9550	 32685.914340808413
0.9600	 32456.533697843595
0.9650	 32285.18138879259
0.9700	 32188.898030043638
0.9750	 32186.883326061183
0.9800	 32295.642011993863
0.9850	 32530.789307185056
0.9900	 32894.41660367739
0.9950	 33385.577758979016
1.000	 33985.81403496938
1.005	 34656.48045273169
1.010	 35338.97695643618
1.015	 35958.24589617475
1.020	 36431.2428252036
1.025	 36679.45415676878
1.030	 36644.21015216803
1.035	 36300.266795692725
1.040	 35665.732258234624
1.045	 34805.49433039867
1.050	 33819.223240056235
1.055	 32818.356266316834
1.060	 31917.000586072674
1.065	 31213.75028388483
1.070	 30781.748557068873
1.075	 30665.84097243258
1.080	 30886.832141562143
1.085	 31451.34428648979
1.090	 32363.80536454515
1.095	 33641.9743186232
1.100	 35332.53242373276
