,R,Z,n_n_slow,n_n_thermal,n_n_total,izn_rate_slow,izn_rate_thermal,izn_rate_total
0,4.34396117299,-3.64575999329,2.42086299334e+17,1.21209999423e+21,1.21234208053e+21,1.31671542916e+19,6.5926521595e+22,6.59396887493e+22
1,4.32353425948,-3.65575432326,2.2046944179e+19,2.03569004477e+21,2.05773698895e+21,1.0135411285e+21,9.35846513923e+22,9.45981925208e+22
2,7.9486005,1.26664833333,18939.6343372,1.41732778648e+18,1.41732778648e+18,22885206.382,1.71259055624e+21,1.71259055624e+21
3,4.51676397729,-3.55560534951,1.41535282387e+11,1.54979694316e+20,1.54979694457e+20,3.01267894077e+13,3.29885279089e+22,3.2988527939e+22
4,4.42094732198,-3.60513067476,1.61429584691e+16,5.08052460042e+20,5.08068603e+20,2.67225140995e+18,8.41013067878e+22,8.41039790392e+22
5,4.30482075316,-3.66491032998,1.2898531677e+21,1.23321498556e+21,2.52306815326e+21,5.92970719471e+22,5.6693303979e+22,1.15990375926e+23
6,4.39583387115,-3.6966992286,1.377143467e+13,3.7957238945e+20,3.79572403221e+20,3.53568127941e+15,9.74515018745e+22,9.74515054101e+22
7,4.57668297729,-3.52721001618,27828220308.2,9.82886414944e+19,9.82886415222e+19,5.92028255055e+12,2.09103033795e+22,2.09103033854e+22
8,4.30003453383,-3.69201154906,6.9647295519e+17,5.6004429513e+19,5.67009024682e+19,9.32315841362e+20,7.49689078841e+22,7.59012237255e+22
9,7.39079975,-0.833245333333,5.50968912477e-05,3.67261891716e+17,3.67261891716e+17,0.0451450905819,3.00925714561e+20,3.00925714561e+20
10,7.32285933333,-1.56547625,72514951.5593,2.01215001265e+18,2.01215001272e+18,12998389365.3,3.60680228882e+20,3.60680228895e+20
11,6.048757052,-2.70885549763,0.0255530943519,1.53158008672e+17,1.53158008672e+17,17.9844723914,1.07793832737e+20,1.07793832737e+20
12,4.40048351016,-3.52995027003,2.35914514606e+17,1.56534203982e+21,1.56557795433e+21,1.32248817187e+19,8.7749850239e+22,8.77630751207e+22
13,8.1060189375,-0.0495543333333,43233829301.0,1.11669773572e+18,1.11669777896e+18,2.81090815917e+12,7.26036723423e+19,7.26036751532e+19
14,4.71421356662,3.1518729568,0.415205036446,1.84702097744e+18,1.84702097744e+18,484.446116634,2.15503681632e+21,2.15503681632e+21
15,4.57949236799,-3.43591827023,4.907400591e+11,1.23803445578e+20,1.23803446069e+20,1.71950081713e+14,4.33794066507e+22,4.33794068226e+22
16,7.01799845833,3.20972741667,707613378.523,1.83014874211e+18,1.83014874282e+18,1.90121259508e+11,4.91723580275e+20,4.91723580465e+20
17,7.74778966667,1.8653275,16833.7422629,1.50045834938e+18,1.50045834938e+18,23204927.6119,2.0683474202e+21,2.0683474202e+21
18,4.3701503405,-3.51387786509,1.37730993747e+21,2.08993153078e+21,3.46724146826e+21,2.25732946425e+22,3.42527407547e+22,5.68260353972e+22
19,4.60863512857,-2.72198738244,1.86750506533e+15,2.74774881755e+20,2.7477674926e+20,4.32726551745e+17,6.3669110888e+22,6.36695436145e+22
20,4.47325629927,-3.55400102427,3.16505970038e+13,2.58705355609e+20,2.58705387259e+20,7.30571175901e+15,5.97153588718e+22,5.97153661776e+22
21,4.37015628843,2.15147102653,20149467.8483,2.82736743968e+18,2.8273674397e+18,18246472043.0,2.56033962443e+21,2.56033962445e+21
22,4.60166849855,-3.58196982688,7.61624647137e+12,1.38131475053e+20,1.3813148267e+20,2.28485117669e+15,4.14390296454e+22,4.14390319302e+22
23,4.43576811972,-3.66299568807,7.20811049346e+13,2.93083098459e+20,2.9308317054e+20,2.47431000148e+16,1.00605899762e+23,1.00605924506e+23
24,4.61105364396,-3.47946468285,2039763312.73,8.04071246646e+19,8.04071246667e+19,6.65067408556e+11,2.62168447174e+22,2.6216844718e+22
25,4.62356558678,-3.25088839642,3.70939941925e+15,3.39895728117e+20,3.39899437517e+20,1.29340983921e+18,1.18516349782e+23,1.18517643192e+23
26,4.66321240283,-3.59875790085,2.45891099825e+15,2.35775636399e+20,2.3577809531e+20,1.13037154097e+18,1.08387033784e+23,1.08388164156e+23
27,8.1258829076,0.372706533935,48770302.2005,2.80616525286e+18,2.80616525291e+18,16256143749.4,9.3535253375e+20,9.35352533766e+20
28,4.70630223761,-3.53952007396,9.7636311179e+12,1.39328308701e+20,1.39328318464e+20,3.30341145435e+15,4.71401188062e+22,4.71401221096e+22
29,4.64567683189,-3.71887549355,1.13547874848e+20,4.78947697796e+20,5.92495572644e+20,1.57350713921e+22,6.63709138367e+22,8.21059852288e+22
30,7.62740516667,-1.12373495833,32614160.4025,1.52871028665e+18,1.52871028668e+18,4960840757.92,2.32527472836e+20,2.32527472841e+20
31,4.679129,-3.47498666667,22970183541.8,7.07926473661e+19,7.07926473891e+19,5.53538877117e+12,1.70597167671e+22,1.70597167726e+22
32,4.52835089893,-3.01905538087,4.1146398242e+20,6.16407703887e+20,1.02787168631e+21,6.6966886078e+22,1.00322036065e+23,1.67288922143e+23
33,5.99147180011,3.85298838951,3617873.54799,2.30106377256e+18,2.30106377256e+18,2680937649.54,1.70514762885e+21,1.70514762885e+21
34,4.55180533333,-3.15752833333,2.2511152674e+20,5.69976151404e+20,7.95087678144e+20,7.68142509743e+22,1.94491556152e+23,2.71305807126e+23
35,4.63580789893,-3.05714104754,6.49384420082e+15,3.75986640607e+20,3.75993134451e+20,3.16912096728e+18,1.83488717825e+23,1.83491886946e+23
36,4.85939394238,-3.2532508436,1205074721.71,1.56332057787e+19,1.56332057799e+19,3.10528267008e+11,4.02842430498e+21,4.02842430529e+21
37,4.68245766667,-3.09710466667,3.19509124145e+13,1.87120756257e+20,1.87120788208e+20,9.56717667246e+15,5.60302413579e+22,5.60302509251e+22
38,4.81621833333,-3.0830255,3052015.09422,1.7025044535e+19,1.7025044535e+19,1107048264.36,6.17544324695e+21,6.17544324695e+21
39,4.43434367126,-3.3845810138,6.87001129653e+20,8.57859652684e+20,1.54486078234e+21,1.19974784263e+23,1.49812747486e+23,2.69787531749e+23
40,4.43861515541,-3.42774882524,5.742530474e+18,1.30972405927e+21,1.31546658974e+21,1.23722355225e+21,2.82178990675e+23,2.83416214227e+23
41,4.55237982285,-2.94846486303,2.25746471584e+18,9.30700093481e+20,9.32957558197e+20,4.26055285198e+20,1.75652665124e+23,1.7607872041e+23
42,4.6964365,-2.61428966667,200313065.875,4.50693493041e+19,4.50693493043e+19,17507188097.8,3.93902201169e+21,3.93902201171e+21
43,4.51306261827,-3.66662584829,1.85397911569e+15,2.62612232064e+20,2.62614086043e+20,9.75644955835e+17,1.38198050553e+23,1.38199026198e+23
44,7.98920360073,1.56891778297,73274389.2847,1.81251748621e+18,1.81251748628e+18,7011592632.71,1.73438965197e+20,1.73438965204e+20
45,4.71585991667,-2.70925258333,414447552.428,6.36904259357e+19,6.36904259361e+19,39306933471.1,6.04051180984e+21,6.04051180988e+21
46,4.64177758333,3.38952283333,3.82358411679,1.24174023811e+18,1.24174023811e+18,3857.21778591,1.25266304744e+21,1.25266304744e+21
47,5.43123525,3.97171008333,109.177927313,4.84562965888e+18,4.84562965888e+18,117664.983768,5.22230957474e+21,5.22230957474e+21
48,4.09436862909,-2.5331306948,4.31922951128e+20,1.63456705851e+21,2.06649000964e+21,2.88390872322e+22,1.09138497651e+23,1.37977584884e+23
49,4.38740530483,-1.91013079792,38953541.589,5.50247968799e+19,5.50247968799e+19,10081231289.7,1.42404947378e+22,1.42404947378e+22
50,4.408005,-1.637541,19189872.8786,8.29228310897e+19,8.29228310897e+19,482151359.36,2.08346120815e+21,2.08346120815e+21
51,4.29661896757,-1.53405267181,9.50312459263e+11,2.70096917845e+20,2.70096918795e+20,1.00106851311e+14,2.8452275597e+22,2.84522756971e+22
52,4.40651545833,-1.55505975,2013.21714538,2.31209371363e+18,2.31209371363e+18,1173252.22352,1.34742995644e+21,1.34742995644e+21
53,4.33431458333,-1.22873641667,1783442.99106,1.27559966301e+18,1.27559966301e+18,430035095.538,3.07580688421e+20,3.07580688422e+20
54,4.45722360213,-2.3890575052,550181877.932,1.06830057423e+20,1.06830057424e+20,1.34422186182e+11,2.61010593856e+22,2.61010593857e+22
55,4.40637504167,-1.60371470833,28347.8665508,2.90710116221e+18,2.90710116221e+18,42308722.6443,4.338800472e+21,4.338800472e+21
56,4.26012525,-0.85116875,1.14802716857e+12,2.89088719308e+18,2.89088834111e+18,2.52656385594e+14,6.36222843293e+20,6.36223095949e+20
57,4.322160875,-1.29401270833,72380089.4633,1.07842624478e+19,1.07842624479e+19,61954683366.2,9.23093036008e+21,9.23093036015e+21
58,4.26300041667,-0.832399083333,1.87280311076e+11,3.06522667974e+18,3.06522686702e+18,2.29614183653e+13,3.75810739387e+20,3.75810762348e+20
59,4.235348375,-0.819034583333,1.01770249651e+14,3.48277580169e+20,3.4827768194e+20,1.01578115336e+14,3.47620059187e+20,3.47620160765e+20
60,4.279084625,-0.843469083333,16418898153.0,1.61556882927e+18,1.61556884569e+18,2.87462880472e+12,2.82854589227e+20,2.82854592102e+20
61,4.33226025,-1.24511241667,12828733.99,1.68844577091e+18,1.68844577093e+18,4480017744.16,5.89634723087e+20,5.89634723091e+20
62,4.32934929167,-1.1366025,656184.943827,1.14931145008e+18,1.14931145008e+18,153916733.529,2.69585984664e+20,2.69585984664e+20
63,4.302873375,-1.19935670833,2.56813738778e+11,2.58345187016e+20,2.58345187273e+20,1.3977365948e+12,1.40607166775e+21,1.40607166914e+21
64,4.11759557706,-1.24561972202,7.55776581396e+18,1.15988900396e+21,1.16744676978e+21,5.15882977825e+20,7.91724708121e+22,7.968835379e+22
65,4.41509558097,-0.54642016903,1515966.65833,2.58415238813e+18,2.58415238814e+18,1371721813.54,2.33826923622e+21,2.33826923622e+21
66,4.39723441667,-1.39968341667,169.643936276,1.64266903256e+18,1.64266903256e+18,12400.3895952,1.20073469331e+20,1.20073469331e+20
67,4.20239326907,-0.918315308924,1.45657442054e+16,8.76842312387e+20,8.76856878131e+20,9.40173171413e+16,5.6597425167e+21,5.65983653402e+21
68,4.4746900917,-2.44725099373,1.11027364194e+11,1.23787420769e+20,1.2378742088e+20,2.64900207786e+13,2.95344429014e+22,2.95344429279e+22
69,4.62079166667,-2.33338583333,34.770457932,1.70028955188e+19,1.70028955188e+19,1812.12508023,8.86136543455e+20,8.86136543455e+20
70,4.62414083333,-2.37957791667,3175.96847529,2.62443645419e+19,2.62443645419e+19,167867.320411,1.38715833795e+21,1.38715833795e+21
71,4.55908191667,-2.072718125,0.00146327873908,9.22046148657e+16,9.22046148657e+16,7.9835798031,5.03064031025e+20,5.03064031025e+20
72,4.55812459802,-1.87793541392,3.54773398697e-09,8.69888389495e+16,8.69888389495e+16,9.10654323036e-06,2.23288337108e+20,2.23288337108e+20
73,4.560069,-1.97136745833,1.72019002817e-08,4.90876719191e+16,4.90876719191e+16,4.62656371364e-05,1.3202450774e+20,1.3202450774e+20
