,R,Z,n_n_slow,n_n_thermal,n_n_total,izn_rate_slow,izn_rate_thermal,izn_rate_total
0,4.34396117299,-3.64575999329,2.00898233644e+12,3.69668494536e+18,3.69668695435e+18,1.41866830582e+16,2.6104608654e+22,2.61046228407e+22
1,4.32353425948,-3.65575432326,2.31765619711e+16,1.39726407635e+20,1.39749584197e+20,1.38332753618e+20,8.33977824036e+23,8.34116156789e+23
2,7.9486005,1.26664833333,4.53217920572e-23,3.87340646615e+11,3.87340646615e+11,4.38978532182e-18,3.7517101771e+16,3.7517101771e+16
3,4.51676397729,-3.55560534951,0.000913144149804,4.73034500796e+13,4.73034500796e+13,25.2653221355,1.30881515765e+18,1.30881515765e+18
4,4.42094732198,-3.60513067476,1078507859.08,3.10968157812e+17,3.1096815889e+17,2.34814773012e+13,6.77045760728e+21,6.77045763076e+21
5,4.30482075316,-3.66491032998,1.40259720719e+20,5.30450447726e+19,1.93304765491e+20,8.3716098241e+23,3.16607230973e+23,1.15376821338e+24
6,4.39583387115,-3.6966992286,1191.02988414,2.13573815267e+15,2.13573815268e+15,39395084.3342,7.06427149823e+19,7.06427149824e+19
7,4.57668297729,-3.52721001618,1.8217247841e-07,1.65550113781e+13,1.65550113781e+13,0.00503892890507,4.57915081823e+17,4.57915081823e+17
8,4.30003453383,-3.69201154906,2.13706593654e+14,5.20000752013e+18,5.20022122673e+18,2.70248184578e+19,6.57580361972e+23,6.57607386791e+23
9,7.39079975,-0.833245333333,1.66545128726e-38,735483.513434,735483.513434,1.10349663183e-33,48731751330.6,48731751330.6
10,7.32285933333,-1.56547625,3.11604211013e-09,9.41945162295e+11,9.41945162295e+11,4.88050047826e-05,1.47532146633e+16,1.47532146633e+16
11,6.048757052,-2.70885549763,9.68926248791e-32,2191.31393734,2191.31393734,4.57277288305e-27,103417375.3,103417375.3
12,4.40048351016,-3.52995027003,3.79149733149e+12,7.51261103203e+18,7.51261482353e+18,2.73877343461e+16,5.42670552561e+22,5.42670826438e+22
13,8.1060189375,-0.0495543333333,2.65082299768e-05,5.98192032102e+14,5.98192032102e+14,0.149398395219,3.37136541018e+18,3.37136541018e+18
14,4.71421356662,3.1518729568,8.15055315944e-29,29996471.9347,29996471.9347,7.28029716033e-24,2.6793669727e+12,2.6793669727e+12
15,4.57949236799,-3.43591827023,0.0103578712464,3.38787620352e+13,3.38787620352e+13,472.001907197,1.54383462719e+18,1.54383462719e+18
16,7.01799845833,3.20972741667,4.38863080082e-09,3.15594460039e+13,3.15594460039e+13,0.000103523531821,7.44456633724e+17,7.44456633724e+17
17,7.74778966667,1.8653275,1.71369450763e-21,5.46584733184e+11,5.46584733184e+11,1.8908385037e-16,6.03085004032e+16,6.03085004032e+16
18,4.3701503405,-3.51387786509,2.62776798125e+20,2.46383857405e+20,5.0916065553e+20,5.66445593564e+23,5.31108725535e+23,1.0975543191e+24
19,4.60863512857,-2.72198738244,9977144.16256,1.34490770841e+17,1.34490770851e+17,3.17831512111e+11,4.28433270733e+21,4.28433270765e+21
20,4.47325629927,-3.55400102427,216.698766478,2.25555226721e+15,2.25555226721e+15,6501812.32342,6.76754084272e+19,6.76754084272e+19
21,4.37015628843,2.15147102653,9.78169718521e-13,4.22141304773e+12,4.22141304773e+12,6.52316326591e-08,2.81515221764e+17,2.81515221764e+17
22,4.60166849855,-3.58196982688,0.79080359797,1.35387168417e+15,1.35387168417e+15,31163.9047473,5.33532324764e+19,5.33532324764e+19
23,4.43576811972,-3.66299568807,5144.42641041,3.12911872621e+15,3.12911872622e+15,229544556.02,1.39621429377e+20,1.39621429377e+20
24,4.61105364396,-3.47946468285,1.30452733101e-08,6.88211559129e+11,6.88211559129e+11,0.000558734355267,2.94763806504e+16,2.94763806504e+16
25,4.62356558678,-3.25088839642,1302010.57719,1.60825741326e+17,1.60825741327e+17,59687889821.1,7.37271209374e+21,7.3727120938e+21
26,4.66321240283,-3.59875790085,6321650.72736,1.11117311429e+17,1.11117311435e+17,3.81746625416e+11,6.71006047196e+21,6.71006047235e+21
27,8.1258829076,0.372706533935,2.05586506817e-14,3.76476670061e+13,3.76476670061e+13,5.16837936527e-10,9.46450369324e+17,9.46450369324e+17
28,4.70630223761,-3.53952007396,0.271261708441,1.83402692779e+15,1.83402692779e+15,12056.0795265,8.1512332213e+19,8.1512332213e+19
29,4.64567683189,-3.71887549355,5.73905182421e+18,2.38378913565e+18,8.12284095986e+18,1.04471097645e+23,4.33934167496e+22,1.47864514395e+23
30,7.62740516667,-1.12373495833,6.03450506417e-11,3.84053277886e+12,3.84053277886e+12,7.99133537652e-07,5.08591593413e+16,5.08591593413e+16
31,4.679129,-3.47498666667,1.25585724e-08,1.9165294109e+13,1.9165294109e+13,0.000397548611167,6.06688070342e+17,6.06688070342e+17
32,4.52835089893,-3.01905538087,1.71240264749e+19,6.32612488186e+18,2.34501513568e+19,4.09720772831e+23,1.51363044166e+23,5.61083816997e+23
33,5.99147180011,3.85298838951,8.51348754508e-14,1.01318794093e+12,1.01318794093e+12,4.68636828916e-09,5.57723472569e+16,5.57723472569e+16
34,4.55180533333,-3.15752833333,4.86131436156e+18,2.01289284018e+18,6.87420720174e+18,2.43866185666e+23,1.0097608642e+23,3.44842272086e+23
35,4.63580789893,-3.05714104754,50336975.1953,2.00694958903e+17,2.00694958953e+17,3.22970769968e+12,1.28769369145e+22,1.28769369177e+22
36,4.85939394238,-3.2532508436,2.75341518835e-10,26411362836.0,26411362836.0,9.58013498288e-06,9.18947575074e+14,9.18947575074e+14
37,4.68245766667,-3.09710466667,57.1512033164,3.16505122926e+15,3.16505122926e+15,2277574.70364,1.26132788064e+20,1.26132788064e+20
38,4.81621833333,-3.0830255,2.35198452121e-16,3953635205.87,3953635205.87,1.15193267919e-11,1.93637396597e+14,1.93637396597e+14
39,4.43434367126,-3.3845810138,2.92332870758e+19,1.04841556092e+19,3.9717442685e+19,6.57837149027e+23,2.35925129391e+23,8.93762278418e+23
40,4.43861515541,-3.42774882524,7.79605968519e+14,3.21354919458e+19,3.21362715517e+19,2.1643537391e+19,8.92150329257e+23,8.92171972794e+23
41,4.55237982285,-2.94846486303,6.27594245053e+13,2.9213613378e+19,2.92136761375e+19,1.82413179542e+18,8.49107228789e+23,8.49109052921e+23
42,4.6964365,-2.61428966667,9.74674003446e-11,7.78609152539e+11,7.78609152539e+11,1.19650952246e-06,9.55820368645e+15,9.55820368645e+15
43,4.51306261827,-3.66662584829,853951.002025,8.38513614143e+16,8.38513614152e+16,58414045045.7,5.73580590828e+21,5.73580590834e+21
