0.000000000000000000e+00 8.000000000000000000e+05
1.111111111111111049e-01 7.930735478434683755e+05
2.222222222222222099e-01 7.721363199595477199e+05
3.333333333333333148e-01 7.366873649811581708e+05
4.444444444444444198e-01 6.857879082835474983e+05
5.555555555555555802e-01 6.178486366299843648e+05
6.666666666666666297e-01 5.301505709000945790e+05
7.777777777777776791e-01 4.175951620437438833e+05
8.888888888888888395e-01 2.682036715192584088e+05
1.000000000000000000e+00 0.000000000000000000e+00
