     0.347505     0.382816     0.421895     0.462287     0.500222     0.577318
     0.641076     0.556939     0.394038     0.290473     0.191997     0.112345
    0.0489582    0.0244236    0.0475846    0.0748929     0.102399     0.132294
     0.168453     0.217511     0.245986     0.226433     0.193405     0.172081
     0.157309     0.146529     0.138295     0.131600     0.125657     0.124114
     0.127744     0.131940     0.135390     0.138346     0.140880     0.141696
     0.137489     0.130766     0.125747     0.122499     0.121030     0.121155
     0.122509     0.124673     0.127278     0.130043     0.132774     0.135334
     0.137628     0.139584     0.141145     0.142267     0.142917     0.143070
     0.142717     0.141862     0.140521     0.138717     0.136490     0.133879
     0.130930     0.127694     0.124217     0.120550     0.116712
     0.391075     0.427672     0.468478     0.516082     0.565150     0.546824
     0.410224     0.204296     0.134554     0.208167     0.147235    0.0791875
    0.0690762    0.0847608     0.101072     0.116399     0.131850     0.148658
     0.167703     0.187988     0.197340     0.189370     0.174163     0.161297
     0.151170     0.143140     0.136536     0.130694     0.124997     0.123035
     0.126402     0.130886     0.135071     0.139323     0.143919     0.147295
     0.145863     0.141794     0.138988     0.137360     0.136839     0.137325
     0.138655     0.140630     0.143049     0.145726     0.148502     0.151245
     0.153840     0.156190     0.158204     0.159802     0.160907     0.161451
     0.161377     0.160641     0.159220     0.157115     0.154349     0.150972
     0.147058     0.142696     0.137987     0.133033     0.127900
     0.411161     0.456557     0.512643     0.584292     0.539897     0.346405
     0.147834     0.148075     0.239276     0.217024     0.170146     0.141035
     0.130224     0.128792     0.131304     0.135412     0.140249     0.145327
     0.149899     0.152657     0.152458     0.150416     0.147197     0.143300
     0.139421     0.135913     0.132864     0.130265     0.128310     0.128112
     0.130343     0.133812     0.137616     0.141559     0.145469     0.148485
     0.149577     0.149440     0.149374     0.149750     0.150682     0.152194
     0.154249     0.156773     0.159663     0.162808     0.166092     0.169399
     0.172612     0.175616     0.178292     0.180522     0.182185     0.183160
     0.183339     0.182632     0.180978     0.178356     0.174793     0.170362
     0.165181     0.159398     0.153179     0.146690     0.140061
     0.403243     0.433682     0.474014     0.517547     0.433115     0.277945
     0.267317     0.278903     0.241920     0.200491     0.169403     0.148197
     0.134725     0.126743     0.122406     0.120460     0.120113     0.120809
     0.122073     0.123486     0.124779     0.125839     0.126610     0.127105
     0.127427     0.127716     0.128114     0.128773     0.129878     0.131629
     0.134150     0.137314     0.140865     0.144548     0.148124     0.151359
     0.154115     0.156475     0.158686     0.160983     0.163522     0.166391
     0.169619     0.173199     0.177093     0.181237     0.185557     0.189956
