     0.840000     0.866562     0.893125     0.919688     0.946250     0.972812
     0.999375      1.02594      1.05250      1.07906      1.10562      1.13219
      1.15875      1.18531      1.21187      1.23844      1.26500      1.29156
      1.31813      1.34469      1.37125      1.39781      1.42438      1.45094
      1.47750      1.50406      1.53062      1.55719      1.58375      1.61031
      1.63687      1.66344      1.69000      1.71656      1.74312      1.76969
      1.79625      1.82281      1.84938      1.87594      1.90250      1.92906
      1.95563      1.98219      2.00875      2.03531      2.06188      2.08844
      2.11500      2.14156      2.16812      2.19469      2.22125      2.24781
      2.27437      2.30094      2.32750      2.35406      2.38063      2.40719
      2.43375      2.46031      2.48688      2.51344      2.54000
