        R                 Z              n_n_slow        n_n_thermal        n_n_total       izn_rate_slow    izn_rate_thermal   izn_rate_total  
           1.32872          -0.48467       5.70905E+05       1.61159E+13       1.61159E+13       2.18517E+08       6.16846E+15       6.16846E+15
           1.25499          -0.50234       1.54327E+10       5.19584E+13       5.19739E+13       5.86136E+12       1.97339E+16       1.97397E+16
           1.21904          -0.46051       3.44652E+11       7.99321E+13       8.02767E+13       1.23623E+14       2.86709E+16       2.87945E+16
           1.27923          -0.33719       3.73693E+06       2.74676E+13       2.74676E+13       1.33107E+09       9.78382E+15       9.78382E+15
           1.30465          -0.81195       5.91652E+12       7.30397E+13       7.89562E+13       2.63133E+15       3.24839E+16       3.51152E+16
           1.04880          -0.26218       6.91035E+15       1.33969E+15       8.25005E+15       8.41838E+13       1.63205E+13       1.00504E+14
           1.37944          -0.92955       1.35039E+12       5.38685E+13       5.52189E+13       8.56701E+14       3.41747E+16       3.50314E+16
           1.36318          -0.99067       3.65006E+13       9.72455E+13       1.33746E+14       2.24408E+16       5.97871E+16       8.22279E+16
           1.43815          -0.98971       6.24019E+11       5.71441E+13       5.77681E+13       1.01541E+15       9.29857E+16       9.40012E+16
           1.36882          -0.83967       9.69600E+10       3.77173E+13       3.78142E+13       1.05243E+14       4.09394E+16       4.10447E+16
           1.34499          -0.68619       9.23466E+08       2.70628E+13       2.70637E+13       9.05783E+11       2.65446E+16       2.65455E+16
           1.33853          -0.73774       1.63334E+10       3.62118E+13       3.62282E+13       7.96859E+12       1.76667E+16       1.76747E+16
           1.36592          -0.67407       1.25150E+08       2.05289E+13       2.05290E+13       1.31125E+11       2.15090E+16       2.15091E+16
           1.38471          -0.79131       3.47390E+09       2.57761E+13       2.57796E+13       3.94264E+12       2.92541E+16       2.92580E+16
           1.40029          -0.74532       1.12020E+08       1.73975E+13       1.73976E+13       1.23808E+11       1.92283E+16       1.92284E+16
           1.35139          -0.63719       4.44131E+07       1.98327E+13       1.98328E+13       3.99990E+10       1.78616E+16       1.78616E+16
           1.37654          -0.87111       2.85308E+11       4.07846E+13       4.10699E+13       2.29244E+14       3.27703E+16       3.29995E+16
           1.29013          -0.72053       8.14134E+11       6.76336E+13       6.84477E+13       3.37892E+14       2.80701E+16       2.84080E+16
           1.40524          -0.83219       9.28543E+09       2.73098E+13       2.73190E+13       1.36303E+13       4.00885E+16       4.01021E+16
           1.47983          -0.79155       1.02140E+07       1.24084E+13       1.24084E+13       1.38806E+10       1.68628E+16       1.68628E+16
           1.43510          -0.73360       7.82081E+06       1.24663E+13       1.24663E+13       9.39491E+09       1.49753E+16       1.49754E+16
           1.48923          -0.75880       6.53023E+05       9.53945E+12       9.53945E+12       8.20738E+08       1.19894E+16       1.19894E+16
           1.46631          -0.84835       4.11256E+08       1.96160E+13       1.96164E+13       6.20485E+11       2.95957E+16       2.95964E+16
           1.42034          -0.78037       2.66343E+08       1.81304E+13       1.81307E+13       3.52204E+11       2.39751E+16       2.39754E+16
           1.36885          -0.60429       1.45896E+06       1.37904E+13       1.37904E+13       1.32077E+09       1.24842E+16       1.24842E+16
           1.43152          -0.66352       1.74432E+05       8.82721E+12       8.82721E+12       1.75535E+08       8.88298E+15       8.88298E+15
           1.46066          -0.59345       1.45584E+02       4.63608E+12       4.63608E+12       1.24071E+05       3.95102E+15       3.95102E+15
           1.44649          -0.62720       5.44451E+03       6.31990E+12       6.31990E+12       4.99096E+06       5.79342E+15       5.79342E+15
           1.41556          -0.70278       5.44371E+06       1.25979E+13       1.25979E+13       5.71569E+09       1.32273E+16       1.32273E+16
           1.38254          -0.63823       4.33454E+06       1.43661E+13       1.43661E+13       4.43256E+09       1.46910E+16       1.46910E+16
           1.45242          -0.91435       1.09815E+10       3.20810E+13       3.20920E+13       1.82389E+13       5.32829E+16       5.33011E+16
           1.33936          -0.87149       2.71244E+12       5.85009E+13       6.12134E+13       1.38363E+15       2.98416E+16       3.12252E+16
           1.42322          -1.07292       3.83558E+13       1.15544E+14       1.53900E+14       5.63212E+16       1.69664E+17       2.25985E+17
           1.39931          -0.60436       1.34782E+05       1.01828E+13       1.01828E+13       1.24558E+08       9.41039E+15       9.41039E+15
           1.36066          -0.48641       1.20048E+04       1.06654E+13       1.06654E+13       9.15834E+06       8.13648E+15       8.13648E+15
           1.40123          -0.54316       2.40295E+03       7.46338E+12       7.46338E+12       1.89874E+06       5.89734E+15       5.89734E+15
           1.34023          -0.46920       7.29568E+04       1.27717E+13       1.27717E+13       2.80176E+07       4.90470E+15       4.90470E+15
           1.41687          -0.51489       4.36464E+01       5.58166E+12       5.58166E+12       3.24767E+04       4.15324E+15       4.15324E+15
           1.38541          -0.57291       3.52252E+04       1.02343E+13       1.02343E+13       2.93173E+07       8.51782E+15       8.51782E+15
           1.39182          -0.48578       3.40377E+02       6.99005E+12       6.99005E+12       1.26574E+05       2.59935E+15       2.59935E+15
           1.35021          -0.41184       2.65747E+03       1.07813E+13       1.07813E+13       9.45137E+05       3.83441E+15       3.83441E+15
           1.36281          -0.43761       4.84656E+02       9.24037E+12       9.24037E+12       1.70563E+05       3.25192E+15       3.25192E+15
           1.36191          -0.37685       9.81520E+01       8.39482E+12       8.39482E+12       3.23642E+04       2.76807E+15       2.76807E+15
           1.37418          -0.42308       8.08053E+01       7.43448E+12       7.43448E+12       2.81618E+04       2.59102E+15       2.59102E+15
           1.40312          -0.40375       7.40623E-01       4.80404E+12       4.80404E+12       4.66172E+02       3.02382E+15       3.02382E+15
           1.30467          -0.37826       3.93563E+05       1.87883E+13       1.87883E+13       1.44123E+08       6.88026E+15       6.88026E+15
           1.39380          -0.43786       1.23359E+01       6.05379E+12       6.05379E+12       8.44761E+03       4.14563E+15       4.14563E+15
           1.35902          -0.53963       2.96167E+05       1.29210E+13       1.29210E+13       1.22075E+08       5.32581E+15       5.32581E+15
           1.44486          -0.51382       4.42862E+00       4.15138E+12       4.15138E+12       3.35793E+03       3.14772E+15       3.14772E+15
           1.42991          -0.54242       1.82988E+02       5.53955E+12       5.53955E+12       1.48094E+05       4.48320E+15       4.48320E+15
           1.43226          -0.48782       2.55162E+00       4.15479E+12       4.15479E+12       1.78711E+03       2.90994E+15       2.90994E+15
           1.47456          -0.56181       6.30515E+00       3.44647E+12       3.44647E+12       4.98521E+03       2.72498E+15       2.72498E+15
           1.48815          -0.53176       1.65791E-01       2.60891E+12       2.60891E+12       1.22155E+02       1.92225E+15       1.92225E+15
           1.44741          -0.46165       7.83534E-02       3.24561E+12       3.24561E+12       5.14394E+01       2.13076E+15       2.13076E+15
           1.41945          -0.38182       1.68043E-02       3.80504E+12       3.80504E+12       9.91261E+00       2.24453E+15       2.24453E+15
           1.42744          -0.40927       7.26924E-02       3.79142E+12       3.79142E+12       4.69268E+01       2.44756E+15       2.44756E+15
           1.44321          -0.38639       2.00612E-03       2.98468E+12       2.98468E+12       1.20627E+00       1.79467E+15       1.79467E+15
           1.46233          -0.43618       3.11965E-03       2.53637E+12       2.53637E+12       1.91239E+00       1.55483E+15       1.55483E+15
           1.47697          -0.41129       9.41058E-05       2.01566E+12       2.01566E+12       5.35146E-02       1.14623E+15       1.14623E+15
           1.43558          -0.36034       1.03691E-03       2.97764E+12       2.97764E+12       5.68943E-01       1.63381E+15       1.63381E+15
           1.45877          -0.36397       9.23882E-05       2.36820E+12       2.36820E+12       5.15535E-02       1.32148E+15       1.32148E+15
           1.41147          -0.43266       1.69102E+00       4.87964E+12       4.87964E+12       1.16493E+03       3.36153E+15       3.36153E+15
           1.41469          -0.57249       3.59972E+03       7.49233E+12       7.49233E+12       3.11703E+06       6.48768E+15       6.48768E+15
           1.37386          -0.34481       3.56099E+00       6.54382E+12       6.54382E+12       2.21739E+03       4.07477E+15       4.07477E+15
           1.45002          -0.69120       3.19995E+05       8.79855E+12       8.79855E+12       3.58267E+08       9.85088E+15       9.85088E+15
           1.32642          -0.53884       9.03207E+06       1.98208E+13       1.98208E+13       7.84046E+09       1.72058E+16       1.72058E+16
           1.37011          -1.19027       2.39025E+15       1.23899E+15       3.62924E+15       9.76046E+18       5.05935E+18       1.48198E+19
           1.40126          -0.35072       1.16711E-01       4.56961E+12       4.56961E+12       3.48436E+01       1.36424E+15       1.36424E+15
           1.19880          -0.36391       4.01742E+11       9.87830E+13       9.91847E+13       7.02566E+13       1.72752E+16       1.73454E+16
           1.21312          -0.32981       2.79771E+10       7.61521E+13       7.61801E+13       1.00193E+13       2.72719E+16       2.72819E+16
           1.16277          -0.31152       1.17810E+13       1.79798E+14       1.91579E+14       1.94625E+15       2.97033E+16       3.16495E+16
           1.14071          -0.28464       8.83166E+13       2.59594E+14       3.47911E+14       1.31500E+16       3.86527E+16       5.18028E+16
           1.11094          -0.14967       8.37670E+14       6.29368E+14       1.46704E+15       2.30330E+17       1.73054E+17       4.03384E+17
           1.14926          -0.30629       4.11279E+13       2.25167E+14       2.66295E+14       6.22585E+15       3.40852E+16       4.03111E+16
           1.14577          -0.05290       2.41047E+13       2.74596E+14       2.98701E+14       3.90515E+15       4.44867E+16       4.83918E+16
           1.15941          -0.21235       7.22390E+12       1.90425E+14       1.97649E+14       2.33884E+15       6.16529E+16       6.39917E+16
           1.18027          -0.22851       7.12595E+11       1.37025E+14       1.37738E+14       1.21627E+14       2.33876E+16       2.35092E+16
           1.13079          -0.17105       1.45480E+14       3.08147E+14       4.53627E+14       2.15594E+16       4.56659E+16       6.72253E+16
           1.17552          -0.18208       7.26043E+11       1.45121E+14       1.45847E+14       1.22341E+14       2.44534E+16       2.45757E+16
           1.12689          -0.27826       2.76048E+14       3.18077E+14       5.94125E+14       3.56273E+16       4.10517E+16       7.66790E+16
           1.21249          -0.16983       4.23972E+09       7.66762E+13       7.66804E+13       7.47014E+11       1.35099E+16       1.35106E+16
           1.24618          -0.31859       3.57805E+08       4.56337E+13       4.56340E+13       1.45132E+11       1.85098E+16       1.85099E+16
           1.13165          -0.33015       2.79517E+14       2.93436E+14       5.72953E+14       3.92246E+16       4.11778E+16       8.04024E+16
           1.26741          -0.28256       5.14690E+06       3.16012E+13       3.16012E+13       1.78920E+09       1.09855E+16       1.09855E+16
           1.22737          -0.33159       6.18517E+09       6.13978E+13       6.14040E+13       2.32679E+12       2.30971E+16       2.30995E+16
           1.19637          -0.19829       5.76784E+10       1.03145E+14       1.03203E+14       2.01598E+13       3.60513E+16       3.60714E+16
           1.25074          -0.15754       1.37867E+07       3.90405E+13       3.90405E+13       2.35399E+09       6.66591E+15       6.66591E+15
           1.22530          -0.16606       8.25920E+08       6.03101E+13       6.03109E+13       1.61411E+11       1.17865E+16       1.17867E+16
           1.26294          -0.15374       2.53083E+06       3.07361E+13       3.07361E+13       4.42478E+08       5.37376E+15       5.37376E+15
           1.30362          -0.25777       1.27120E+04       1.77717E+13       1.77717E+13       4.16759E+06       5.82640E+15       5.82640E+15
           1.28337          -0.29181       9.47926E+05       2.53666E+13       2.53666E+13       3.44339E+08       9.21454E+15       9.21454E+15
           1.29530          -0.20641       2.24264E+04       1.95878E+13       1.95878E+13       7.35157E+06       6.42104E+15       6.42104E+15
           1.15547          -0.47684       4.14954E+14       1.89406E+14       6.04360E+14       5.96760E+16       2.72391E+16       8.69151E+16
           1.18785          -0.17828       1.73097E+11       1.15377E+14       1.15550E+14       3.05364E+13       2.03539E+16       2.03844E+16
           1.17628          -0.35404       4.40276E+12       1.42870E+14       1.47272E+14       1.45384E+15       4.71772E+16       4.86310E+16
