        R                 Z              n_n_slow        n_n_thermal        n_n_total       izn_rate_slow    izn_rate_thermal   izn_rate_total  
           1.16570          -0.89040       5.86710E+12       1.82927E+13       2.41598E+13       2.72369E+16       8.49204E+16       1.12157E+17
           1.21316          -0.97551       2.92027E+11       7.92654E+11       1.08468E+12       2.10920E+15       5.72502E+15       7.83422E+15
           1.15726          -0.51233       5.62785E+13       9.27607E+13       1.49039E+14       6.12592E+16       1.00970E+17       1.62229E+17
           1.19120          -0.57956       4.50816E+12       3.37251E+13       3.82332E+13       5.58717E+15       4.17971E+16       4.73842E+16
           1.20018          -0.62086       2.88253E+13       1.01632E+14       1.30458E+14       3.36787E+16       1.18744E+17       1.52423E+17
           1.20982          -0.56439       6.44741E+10       2.22252E+13       2.22897E+13       8.69095E+13       2.99591E+16       3.00460E+16
           1.12904          -0.81604       3.84108E+13       8.51605E+13       1.23571E+14       1.27608E+17       2.82919E+17       4.10527E+17
           1.17685          -0.49846       1.15227E+12       2.39109E+13       2.50631E+13       1.46198E+15       3.03378E+16       3.17997E+16
           1.14863          -1.14643       8.06792E+14       1.98408E+14       1.00520E+15       3.14330E+18       7.73008E+17       3.91631E+18
           1.10182          -0.74208       1.22994E+14       1.76163E+14       2.99156E+14       2.93774E+17       4.20770E+17       7.14544E+17
           1.27630          -0.70810       2.05622E+11       3.56835E+13       3.58891E+13       3.24762E+14       5.63588E+16       5.66836E+16
           1.25748          -0.73090       1.31015E+13       1.32056E+14       1.45157E+14       1.75158E+16       1.76549E+17       1.94065E+17
           1.24334          -0.68588       2.11940E+12       4.89896E+13       5.11090E+13       2.86003E+15       6.61091E+16       6.89691E+16
           1.32819          -0.76798       6.82687E+09       3.63258E+13       3.63326E+13       1.14515E+13       6.09334E+16       6.09448E+16
           1.31099          -0.80159       1.05311E+12       7.38152E+13       7.48683E+13       1.94434E+15       1.36284E+17       1.38228E+17
           1.26151          -0.66711       2.41944E+10       2.72855E+13       2.73097E+13       3.67609E+13       4.14575E+16       4.14943E+16
           1.25500          -0.57306       7.02768E+07       1.33552E+13       1.33552E+13       9.31438E+10       1.77007E+16       1.77008E+16
           1.27885          -0.64767       2.07356E+08       1.84166E+13       1.84168E+13       2.71243E+11       2.40908E+16       2.40910E+16
           1.22769          -0.55055       7.42982E+08       1.58903E+13       1.58910E+13       9.53661E+11       2.03961E+16       2.03970E+16
           1.31310          -0.60056       1.36717E+04       7.84227E+12       7.84227E+12       1.56202E+07       8.95996E+15       8.95996E+15
           1.29608          -0.62544       1.62860E+06       1.20692E+13       1.20692E+13       1.97461E+09       1.46334E+16       1.46334E+16
           1.23726          -0.58875       6.51105E+09       1.88546E+13       1.88611E+13       8.93092E+12       2.58619E+16       2.58709E+16
           1.29001          -0.53386       6.91159E+03       6.36894E+12       6.36894E+12       7.76742E+06       7.15757E+15       7.15757E+15
           1.21956          -0.60358       5.15345E+11       2.70946E+13       2.76100E+13       6.87603E+14       3.61512E+16       3.68388E+16
           1.22693          -1.25511       1.12497E+15       3.24860E+14       1.44983E+15       5.18867E+18       1.49834E+18       6.68701E+18
           1.27259          -0.55459       7.11260E+05       9.23399E+12       9.23399E+12       8.86345E+08       1.15070E+16       1.15070E+16
           1.15266          -0.47043       9.18016E+12       2.93301E+13       3.85102E+13       1.07022E+16       3.41928E+16       4.48950E+16
           1.19482          -0.48568       1.63572E+10       1.71899E+13       1.72063E+13       2.15886E+13       2.26877E+16       2.27093E+16
           1.17142          -0.45794       1.50239E+11       2.02772E+13       2.04275E+13       1.91198E+14       2.58054E+16       2.59966E+16
           1.12674          -0.39653       9.29439E+13       8.21667E+13       1.75111E+14       9.53409E+16       8.42858E+16       1.79627E+17
           1.16438          -0.37561       3.64805E+10       1.75540E+13       1.75905E+13       4.80107E+13       2.31022E+16       2.31502E+16
           1.18950          -0.44609       1.92538E+09       1.48722E+13       1.48742E+13       2.36383E+12       1.82590E+16       1.82614E+16
           1.18258          -0.36559       5.17781E+08       1.30242E+13       1.30247E+13       6.02134E+11       1.51460E+16       1.51466E+16
           1.22567          -0.42202       3.25493E+05       7.92113E+12       7.92113E+12       3.22476E+08       7.84771E+15       7.84771E+15
           1.20762          -0.43442       2.49971E+07       1.08642E+13       1.08642E+13       2.75106E+10       1.19566E+16       1.19567E+16
           1.20075          -0.35565       7.44847E+06       9.55556E+12       9.55557E+12       7.87104E+09       1.00977E+16       1.00977E+16
           1.21290          -0.47331       2.06403E+08       1.25582E+13       1.25584E+13       2.42754E+11       1.47698E+16       1.47701E+16
           1.14635          -0.38588       2.26436E+12       2.40355E+13       2.62999E+13       2.84778E+15       3.02283E+16       3.30761E+16
           1.24881          -0.44564       3.29965E+04       6.57040E+12       6.57040E+12       3.40588E+07       6.78191E+15       6.78191E+15
           1.26324          -0.51828       8.50464E+04       7.87638E+12       7.87638E+12       8.66327E+07       8.02328E+15       8.02328E+15
           1.26660          -0.42982       4.17237E+02       4.76972E+12       4.76972E+12       3.96383E+05       4.53132E+15       4.53132E+15
           1.29821          -0.47975       1.05100E+01       3.89514E+12       3.89514E+12       9.18799E+03       3.40518E+15       3.40518E+15
           1.28081          -0.49942       9.17046E+02       5.52369E+12       5.52369E+12       8.68600E+05       5.23188E+15       5.23188E+15
           1.24364          -0.40857       4.27546E+03       5.80107E+12       5.80107E+12       3.88014E+06       5.26469E+15       5.26469E+15
           1.23696          -0.33438       1.65183E+03       5.25119E+12       5.25119E+12       1.50511E+06       4.78476E+15       4.78476E+15
           1.26151          -0.39422       5.73753E+01       4.25924E+12       4.25924E+12       4.81861E+04       3.57709E+15       3.57709E+15
           1.30184          -0.39706       7.32215E-02       2.56868E+12       2.56868E+12       5.84089E+01       2.04904E+15       2.04904E+15
           1.27930          -0.37943       8.00850E-01       3.14641E+12       3.14641E+12       6.22672E+02       2.44637E+15       2.44637E+15
           1.28428          -0.41342       5.39919E+00       3.48300E+12       3.48300E+12       4.70197E+03       3.03322E+15       3.03322E+15
           1.21888          -0.34535       1.10151E+05       7.07147E+12       7.07147E+12       1.07875E+08       6.92535E+15       6.92535E+15
           1.31546          -0.46013       1.29652E-01       2.78285E+12       2.78285E+12       1.04127E+02       2.23499E+15       2.23499E+15
           1.23090          -0.46022       2.60584E+06       9.06025E+12       9.06025E+12       2.88227E+09       1.00214E+16       1.00214E+16
           1.24553          -0.53540       8.08601E+06       1.12366E+13       1.12366E+13       9.00179E+09       1.25092E+16       1.25092E+16
           1.25498          -0.32285       2.50929E+01       3.91892E+12       3.91892E+12       2.11939E+04       3.31000E+15       3.31000E+15
           1.29334          -0.68684       1.99471E+09       2.26491E+13       2.26511E+13       3.74435E+12       4.25155E+16       4.25193E+16
           1.08272          -0.66296       2.62969E+14       2.61397E+14       5.24366E+14       4.48324E+17       4.45645E+17       8.93969E+17
           1.34874          -0.81646       7.71881E+10       5.12562E+13       5.13334E+13       2.23591E+14       1.48474E+17       1.48698E+17
           1.33107          -0.85776       8.16447E+12       1.88489E+14       1.96654E+14       1.48189E+16       3.42117E+17       3.56936E+17
           1.39559          -0.92177       2.87007E+11       8.65362E+13       8.68232E+13       7.40742E+14       2.23343E+17       2.24084E+17
           1.36058          -0.69837       1.94183E+05       1.16286E+13       1.16286E+13       3.09443E+08       1.85310E+16       1.85310E+16
           1.34364          -0.60522       7.20477E+02       5.99283E+12       5.99283E+12       9.03824E+05       7.51789E+15       7.51789E+15
           1.32712          -0.63375       9.95846E+04       9.36810E+12       9.36810E+12       1.46629E+08       1.37937E+16       1.37937E+16
           1.32990          -0.57482       1.25648E+02       5.15621E+12       5.15621E+12       1.30970E+05       5.37462E+15       5.37462E+15
           1.37639          -0.66321       1.28686E+03       7.05398E+12       7.05398E+12       1.78703E+06       9.79571E+15       9.79571E+15
           1.39188          -0.63043       9.50684E+00       4.49132E+12       4.49132E+12       1.13647E+04       5.36903E+15       5.36903E+15
           1.35991          -0.57770       6.16210E+00       3.94039E+12       3.94039E+12       6.68433E+03       4.27433E+15       4.27433E+15
           1.36454          -0.77424       3.54335E+08       2.62034E+13       2.62038E+13       1.07543E+12       7.95293E+16       7.95304E+16
           1.31035          -0.66185       1.50368E+07       1.48202E+13       1.48202E+13       2.59091E+10       2.55359E+16       2.55359E+16
           1.38022          -0.73145       1.20251E+06       1.44136E+13       1.44136E+13       2.71808E+09       3.25796E+16       3.25796E+16
           1.42561          -0.79780       3.43619E+06       1.96280E+13       1.96280E+13       9.78200E+09       5.58762E+16       5.58762E+16
           1.44969          -0.71636       2.28411E+02       7.99789E+12       7.99789E+12       4.17765E+05       1.46282E+16       1.46282E+16
           1.43985          -0.74552       1.12285E+04       1.08640E+13       1.08640E+13       2.45243E+07       2.37282E+16       2.37282E+16
