,R,Z,n_n_slow,n_n_thermal,n_n_total,izn_rate_slow,izn_rate_thermal,izn_rate_total
26,1.19547333333,-0.605851666667,2.3700062644e+15,2.60717417624e+19,2.60741117687e+19,1.24508546524e+18,1.36968189534e+22,1.36968189534e+22
27,1.15549066667,-0.683198,4.23887966282e+17,5.72506578367e+20,5.72930466333e+20,1.18079249309e+18,1.59478806608e+21,1.59478806608e+21
28,1.129768,-0.759606333333,6.61880312996e+19,6.67318079597e+20,7.33506110896e+20,9.52661668984e+20,9.60488388866e+21,9.60488388866e+21
29,1.1413395,-0.573774166666,1.05444179846e+18,3.87534532947e+20,3.88588974746e+20,1.84726955015e+17,6.78919162149e+19,6.78919162149e+19
30,1.201768,-0.921286,3.12897779275e+16,7.64143968291e+20,7.64175258069e+20,5.1447229223e+17,1.25641958812e+22,1.25641958812e+22
31,2.26670858333,-0.227451875001,4.60473265339e+14,6.39522919754e+17,6.3998339302e+17,1.78914479057e+16,2.48483285883e+19,2.48483285883e+19
32,1.22011533333,-1.081575,5.33544575943e+16,9.37845890826e+20,9.37899245284e+20,1.57774403604e+18,2.77330297728e+22,2.77330297728e+22
33,1.20173286784,-1.29319144365,5.93950977735e+20,2.10193991905e+21,2.69589089678e+21,6.72559149131e+21,2.38012727729e+22,2.38012727729e+22
34,1.222098,-0.957733,9.20475537715e+14,6.3531351119e+20,6.35314431665e+20,1.59911230396e+16,1.10370956206e+22,1.10370956206e+22
35,1.23476533333,-1.037825,9.18024031592e+14,6.97800521826e+20,6.9780143985e+20,2.45943717303e+16,1.86944620585e+22,1.86944620585e+22
36,1.236521,-1.19910166667,3.60643926682e+15,1.17967714796e+21,1.17968075439e+21,1.52946980109e+17,5.002941792e+22,5.002941792e+22
37,1.21346633333,-1.001195,2.79064120497e+16,8.12173179402e+20,8.12201085814e+20,6.27739508659e+17,1.82693924133e+22,1.82693924133e+22
38,1.24116766667,-1.11851866667,1.18667712317e+15,8.37841619408e+20,8.37842806085e+20,4.11400220359e+16,2.90465047418e+22,2.90465047418e+22
39,1.28078833333,-1.102281,1.2635716473e+13,5.1549573144e+20,5.15495744075e+20,4.36163132289e+14,1.77940232662e+22,1.77940232662e+22
40,1.26958566667,-0.971375666667,6.29490396889e+11,3.48045090367e+20,3.48045090997e+20,1.34344820157e+13,7.42792190367e+21,7.42792190367e+21
41,1.29091233333,-1.04998633333,3.16956721783e+11,3.81331229808e+20,3.81331230125e+20,1.06371467864e+13,1.2797571362e+22,1.2797571362e+22
42,1.29373433333,-0.913154,3896496519.42,3.43682967822e+19,3.43682967861e+19,3.39656683361e+12,2.99587633138e+22,2.99587633138e+22
43,1.26594166667,-1.022474,1.35504279748e+13,4.76919714037e+20,4.76919727587e+20,3.4390603513e+14,1.2104087652e+22,1.2104087652e+22
44,1.28550266667,-1.20980066667,4.51149723953e+13,8.22317980027e+20,8.22318025142e+20,2.34076898914e+15,4.26655791784e+22,4.26655791784e+22
45,1.218576,-1.162073,7.24051710108e+16,1.21519982116e+21,1.21527222633e+21,2.8284437953e+18,4.74707033518e+22,4.74707033518e+22
46,1.28879083333,-1.3079702735,1.10667727969e+21,1.81812595445e+21,2.92480323414e+21,6.06208381051e+21,9.95921043674e+21,9.95921043674e+21
47,1.247041,-0.943264666667,2.07803646506e+13,4.51137096145e+20,4.51137116925e+20,3.34954791886e+14,7.27179405617e+21,7.27179405617e+21
48,1.20401166667,-0.735511,4.09691198528e+14,2.80413417082e+20,2.80413826773e+20,1.75364621528e+15,1.20028433451e+21,1.20028433451e+21
49,1.22901366667,-0.8274215,8.74363991741e+13,3.3898711544e+20,3.38987202877e+20,4.32389224925e+14,1.67635421277e+21,1.67635421277e+21
50,1.19900733333,-0.649996666667,7.97843822092e+14,8.35975543257e+19,8.35983521695e+19,5.26661145631e+16,5.51832106912e+21,5.51832106912e+21
51,1.21685783333,-0.683686666667,4.97056049769e+13,8.08239748812e+19,8.08240245868e+19,8.36434422828e+14,1.36008715339e+21,1.36008715339e+21
52,1.23481916667,-0.743960333333,7.13178321785e+11,4.47771879388e+19,4.4777188652e+19,2.25115835443e+14,1.4133988322e+22,1.4133988322e+22
53,1.21079466667,-0.798215166667,2.82793044704e+15,4.07739772072e+20,4.07742600002e+20,2.24310655552e+16,3.23418051754e+21,3.23418051754e+21
54,1.24708533333,-0.892971,1.80413700402e+13,3.35872455138e+20,3.3587247318e+20,2.67763095299e+14,4.98489017261e+21,4.98489017261e+21
55,1.26635666667,-0.87479,5.75970139373e+11,1.93937446785e+20,1.93937447361e+20,7.462279062e+12,2.51265690624e+21,2.51265690624e+21
56,1.24992566667,-0.790859333333,5.25410733253e+11,1.19366575586e+20,1.19366576111e+20,3.16977187131e+12,7.20131488986e+20,7.20131488986e+20
57,1.2576885,-0.671887,4.37858185122e+11,5.23375971732e+18,5.23376015518e+18,9.74321227902e+14,1.16461524932e+22,1.16461524932e+22
58,1.27524066667,-0.624266333333,2.81084158824e+12,1.44342087733e+18,1.44342368817e+18,1.54348584929e+16,7.92609483239e+21,7.92609483239e+21
