# V t o r D 	 [ m / s ]
0.4450	 41985.671330119105
0.4500	 42080.622829374995
0.4550	 42181.0927155404
0.4600	 42286.9222860787
0.4650	 42397.950514947
0.4700	 42514.136026889806
0.4750	 42635.23131745277
0.4800	 42761.108498342735
0.4850	 42891.69530153133
0.4900	 43026.66226977442
0.4950	 43165.78704416483
0.5000	 43309.01154470803
0.5050	 43456.09413986033
0.5100	 43606.722234841836
0.5150	 43760.78189771043
0.5200	 43917.938351291756
0.5250	 44077.99887965641
0.5300	 44240.76855992066
0.5350	 44405.99659736589
0.5400	 44573.308899164374
0.5450	 44742.51120191873
0.5500	 44913.40004109007
0.5550	 45085.60993132533
0.5600	 45258.95360418785
0.5650	 45433.15773784179
0.5700	 45607.836889582606
0.5750	 45782.841589338284
0.5800	 45957.8578970408
0.5850	 46132.65163381425
0.5900	 46306.791649712555
0.5950	 46480.18754999756
0.6000	 46652.45479058633
0.6050	 46823.34371823323
0.6100	 46992.605383171074
0.6150	 47159.99347733591
0.6200	 47325.212432652246
0.6250	 47487.9693964146
0.6300	 47648.041582407845
0.6350	 47805.14066031865
0.6400	 47959.06487656266
0.6450	 48109.61810691797
0.6500	 48256.49558335537
0.6550	 48399.42476963534
0.6600	 48538.2365892742
0.6650	 48672.68953357184
0.6700	 48802.63159016673
0.6750	 48927.8197018953
0.6800	 49048.06440387913
0.6850	 49163.15185694917
0.6900	 49273.01851857297
0.6950	 49377.58132271203
0.7000	 49476.97545531891
0.7050	 49571.341212654865
0.7100	 49660.31307912199
0.7150	 49742.99390763403
0.7200	 49818.33292454038
0.7250	 49884.56696371956
0.7300	 49939.66473003512
0.7350	 49980.90070362646
0.7400	 50004.94611021603
0.7450	 50007.19234832029
0.7500	 49981.676205654156
0.7550	 49920.571839011354
0.7600	 49812.98415942088
0.7650	 49648.47299571009
0.7700	 49416.056331045314
0.7750	 49104.72563546881
0.7800	 48705.236374630935
0.7850	 48210.88000291248
0.7900	 47619.438052130055
0.7950	 46933.47792122156
0.8000	 46161.91708733374
0.8050	 45320.51098042782
0.8100	 44430.926785633135
0.8150	 43518.76205950669
0.8200	 42613.12725545361
0.8250	 41741.94239176958
0.8300	 40928.56767910302
0.8350	 40190.425511869
0.8400	 39537.658572567496
0.8450	 38973.19761357555
0.8500	 38493.22626226482
0.8550	 38089.737219873314
0.8600	 37752.41978517717
0.8650	 37469.785822307385
0.8700	 37230.37351620888
0.8750	 37023.948844312894
0.8800	 36838.876206680914
0.8850	 36666.479239664215
0.8900	 36498.64379547735
0.8950	 36327.88170646997
0.9000	 36147.74868941115
0.9050	 35951.88867519274
0.9100	 35735.88022471957
0.9150	 35496.11555149323
0.9200	 35230.75077857554
0.9250	 34939.545479969136
0.9300	 34622.39404931013
0.9350	 34281.63057351346
0.9400	 33922.22750680246
0.9450	 33553.98296935428
0.9500	 33190.62325829631
0.9550	 32851.87676261091
0.9600	 32561.214236823056
0.9650	 32347.638660984816
0.9700	 32242.08655397425
0.9750	 32277.619394806734
0.9800	 32481.40044578231
0.9850	 32874.615607301246
0.9900	 33457.08737804867
0.9950	 34216.00951823748
1.000	 35114.217683956624
1.005	 36088.78519245929
1.010	 37056.06330208945
1.015	 37920.42804771496
1.020	 38587.88499440556
1.025	 38981.77403943838
1.030	 39056.99044922938
1.035	 38809.24262095821
1.040	 38277.68332859783
1.045	 37541.234377648536
1.050	 36700.73771488267
1.055	 35857.47530876065
1.060	 35107.791341919416
1.065	 34531.250472538864
1.070	 34185.50558659507
1.075	 34107.16431865568
1.080	 34317.85063516979
1.085	 34834.02151968312
1.090	 35675.62424871528
1.095	 36874.58167723138
1.100	 38483.73273777961
