# V t o r C 	 [ m / s ]
0.4100	 62266.63608934654
0.4150	 62098.38384693094
0.4200	 61926.62705432249
0.4250	 61751.360368436886
0.4300	 61572.41072579234
0.4350	 61389.87391212222
0.4400	 61203.85223898991
0.4450	 61014.25287796912
0.4500	 60821.123976461786
0.4550	 60624.48903680595
0.4600	 60424.246610369
0.4650	 60220.421691209
0.4700	 60013.09994179341
0.4750	 59802.16845955662
0.4800	 59587.718635613244
0.4850	 59369.81885407266
0.4900	 59148.36872322197
0.4950	 58923.26330730199
0.5000	 58694.733876339094
0.5050	 58462.69683087372
0.5100	 58227.08017322772
0.5150	 57987.9902791679
0.5200	 57745.3688020764
0.5250	 57499.20920421447
0.5300	 57249.59352499363
0.5350	 56996.55396898481
0.5400	 56739.9463695693
0.5450	 56479.80634320526
0.5500	 56216.24780953546
0.5550	 55949.169705551205
0.5600	 55678.670028413464
0.5650	 55404.72120037732
0.5700	 55127.27249939858
0.5750	 54846.35234292503
0.5800	 54562.05588046053
0.5850	 54274.34299083552
0.5900	 53983.091554995204
0.5950	 53688.4971617308
0.6000	 53390.48258459697
0.6050	 53089.01380862932
0.6100	 52784.15837658896
0.6150	 52475.97071733314
0.6200	 52164.39257412353
0.6250	 51849.42423124162
0.6300	 51531.07529236629
0.6350	 51209.310344495294
0.6400	 50884.25777796853
0.6450	 50555.91242720177
0.6500	 50224.21745830688
0.6550	 49889.16776566675
0.6600	 49550.81913730412
0.6650	 49209.149344575475
0.6700	 48864.218684029205
0.6750	 48516.024911865934
0.6800	 48164.55884378048
0.6850	 47809.82206855254
0.6900	 47451.83881296484
0.6950	 47090.60936342864
0.7000	 46726.16475541966
0.7050	 46358.52767484056
0.7100	 45987.70914300113
0.7150	 45613.65572680926
0.7200	 45236.43807951057
0.7250	 44856.06479561424
0.7300	 44472.54981842313
0.7350	 44085.91336741636
0.7400	 43696.13040912345
0.7450	 43303.22647187906
0.7500	 42907.23076199131
0.7550	 42508.17110262551
0.7600	 42106.07910210054
0.7650	 41700.86108287161
0.7700	 41292.62446421807
0.7750	 40881.39062149886
0.7800	 40467.1691359707
0.7850	 40049.83631813168
0.7900	 39629.61553052076
0.7950	 39206.47909701928
0.8000	 38780.30308497599
0.8050	 38351.179660266
0.8100	 37918.85868998892
0.8150	 37482.12109105903
0.8200	 37039.471486689734
0.8250	 36589.58641224152
0.8300	 36131.1187259232
0.8350	 35662.622377856846
0.8400	 35182.65721427063
0.8450	 34689.913322249944
0.8500	 34182.90355136981
0.8550	 33660.19737874044
0.8600	 33120.47453131751
0.8650	 32562.171220264878
0.8700	 31983.95522529971
0.8750	 31384.46151381342
0.8800	 30761.964603412085
0.8850	 30115.301908972284
0.8900	 29442.983995332943
0.8950	 28743.423727728354
0.9000	 28015.373442603548
0.9050	 27257.14859558084
0.9100	 26467.45524991455
0.9150	 25644.787418921886
0.9200	 24787.619874615393
0.9250	 23894.6718882302
0.9300	 22964.165116489134
0.9350	 21994.98035835224
0.9400	 20985.28983943838
0.9450	 19933.951816328496
0.9500	 18840.75257037075
0.9550	 17735.605549239073
0.9600	 16700.963477746904
0.9650	 15876.643797000781
0.9700	 15409.3506364555
0.9750	 15446.85526534379
0.9800	 16091.742634632472
0.9850	 17158.278352178255
0.9900	 18340.446408427135
0.9950	 19335.788486498444
1.000	 19841.01860239691
1.005	 19673.825588842225
1.010	 18975.692875758003
1.015	 17941.335793455826
1.020	 16765.782384271828
1.025	 15644.373402566429
1.030	 14737.942015952352
1.035	 14040.699440364831
1.040	 13496.912990671282
1.045	 13050.751477396967
1.050	 12646.294258401987
1.055	 12227.531238881473
1.060	 11738.362871365392
1.065	 11122.600155718745
1.070	 10323.964639141364
1.075	 9286.088416168146
1.080	 7952.514128668757
1.085	 6266.694965848005
1.090	 4171.994664245376
1.095	 1611.6875077356153
1.100	 -1471.0416724720067
