 Global NB Heating and Current Drive Parameters
 ----------------------------------------------
 TOTALS:
 Total Absorbed Power      =    4.6000 MW
 Total Lost Power          =     .0000 MW
 Total NB Driven Current   =   .12259E+06 A
 Total NBCD Efficiency     =   .26650E-01 A/W
 Total Beam Beta           =   .15090E-02
 Taus                      =   .25679E-02 s
 Volp                      =   .17757E+02 m3

 Information per Beamline and Energy Group:
 -----------------------------------------
                       Beam 1          Beam 2          Beam 3
                       ------          ------          ------
 Absorbed Power      .46000E+01
 Lost Power          .00000E+00
 NB driven current   .12259E+06
 NBCD efficiency     .26650E-01
 NBCD gamma          .13014E-01

 Beam Shinethrough
    energy group 1   .00000E+00
    energy group 2   .00000E+00
    energy group 3   .00000E+00

 Beam-Target Parameters
 ----------------------
 Total Beam-Target Fusion Power   =   .26050E-03 MW
 Total Power to Charged Particles =   .17189E-03 MW
 Total DT Neutron Rate            =   .00000E+00 n/s
 Total DD Neutron Rate            =   .22572E+15 n/s

 Neutral Beam Deposition Profiles
 --------------------------------
 Beam  1
     rho      hofr_1       hofr_2       hofr_3
   .58604   .54648E+00   .49786E+00   .48774E+00
   .59800   .00000E+00   .00000E+00   .00000E+00

   rho     jnbtot      pNBe        pNBi        nbfast      pressb      pfusb      dvol      dA
  .0000   .3520E+06   .6377E+00   .8081E+00   .4851E+19   .1788E+05   .1410E-03   .1491E-02   .1421E-03
  .0200   .8108E+06   .1292E+01   .1636E+01   .9821E+19   .3619E+05   .2853E-03   .1193E-01   .1137E-02
  .0400   .5609E+06   .8546E+00   .1080E+01   .6490E+19   .2390E+05   .1882E-03   .2388E-01   .2275E-02
  .0600   .5136E+06   .7592E+00   .9572E+00   .5755E+19   .2118E+05   .1663E-03   .3585E-01   .3416E-02
  .0800   .4913E+06   .7101E+00   .8918E+00   .5368E+19   .1973E+05   .1545E-03   .4785E-01   .4560E-02
  .1000   .4748E+06   .6746E+00   .8430E+00   .5083E+19   .1865E+05   .1454E-03   .5991E-01   .5710E-02
  .1200   .4593E+06   .6441E+00   .7999E+00   .4833E+19   .1769E+05   .1373E-03   .7203E-01   .6865E-02
  .1400   .4432E+06   .6154E+00   .7588E+00   .4595E+19   .1678E+05   .1294E-03   .8423E-01   .8027E-02
  .1600   .4259E+06   .5874E+00   .7182E+00   .4361E+19   .1588E+05   .1217E-03   .9651E-01   .9198E-02
  .1800   .4076E+06   .5597E+00   .6778E+00   .4128E+19   .1499E+05   .1139E-03   .1089E+00   .1038E-01
  .2000   .3151E+06   .4329E+00   .5194E+00   .3172E+19   .1146E+05   .8628E-04   .1214E+00   .1157E-01
  .2200   .2723E+06   .3747E+00   .4447E+00   .2725E+19   .9803E+04   .7301E-04   .1340E+00   .1277E-01
  .2400   .2429E+06   .3356E+00   .3933E+00   .2420E+19   .8661E+04   .6377E-04   .1468E+00   .1399E-01
  .2600   .2204E+06   .3062E+00   .3541E+00   .2188E+19   .7787E+04   .5662E-04   .1597E+00   .1522E-01
  .2800   .2021E+06   .2830E+00   .3223E+00   .2001E+19   .7081E+04   .5079E-04   .1728E+00   .1646E-01
  .3000   .1869E+06   .2642E+00   .2960E+00   .1847E+19   .6494E+04   .4590E-04   .1860E+00   .1773E-01
  .3200   .1738E+06   .2485E+00   .2734E+00   .1716E+19   .5993E+04   .4169E-04   .1995E+00   .1901E-01
  .3400   .1624E+06   .2352E+00   .2538E+00   .1602E+19   .5556E+04   .3800E-04   .2131E+00   .2031E-01
  .3600   .1523E+06   .2239E+00   .2365E+00   .1503E+19   .5172E+04   .3473E-04   .2269E+00   .2163E-01
  .3800   .1431E+06   .2140E+00   .2209E+00   .1414E+19   .4827E+04   .3178E-04   .2410E+00   .2297E-01
  .4000   .1348E+06   .2053E+00   .2068E+00   .1334E+19   .4513E+04   .2910E-04   .2553E+00   .2433E-01
  .4200   .1271E+06   .1976E+00   .1938E+00   .1261E+19   .4226E+04   .2665E-04   .2699E+00   .2572E-01
  .4400   .1200E+06   .1907E+00   .1818E+00   .1193E+19   .3961E+04   .2440E-04   .2847E+00   .2714E-01
  .4600   .1133E+06   .1845E+00   .1705E+00   .1130E+19   .3713E+04   .2230E-04   .2999E+00   .2858E-01
  .4800   .1070E+06   .1788E+00   .1599E+00   .1070E+19   .3480E+04   .2035E-04   .3153E+00   .3004E-01
  .5000   .1010E+06   .1736E+00   .1499E+00   .1014E+19   .3259E+04   .1853E-04   .3310E+00   .3154E-01
