 from   to   via     T_slow    T_thermal     mfp_s       mfp_t    
  1553     6     9   4.585E-01   6.581E-01   1.500E-02   6.353E-02
  1553  1333     9   1.495E-01   2.364E-01   1.500E-02   6.353E-02
  1553  1553     9   0.000E+00   0.000E+00   1.500E-02   6.353E-02
    72    72    10   0.000E+00   0.000E+00   6.792E-02   3.795E-01
    72    12    10   3.994E-01   5.527E-01   6.792E-02   3.795E-01
    72  1893    10   2.689E-01   3.841E-01   6.792E-02   3.795E-01
    12    72    10   4.552E-01   5.985E-01   6.792E-02   2.144E-01
    12    12    10   0.000E+00   0.000E+00   6.792E-02   2.144E-01
    12  1893    10   2.036E-01   2.851E-01   6.792E-02   2.144E-01
  1893    72    10   3.836E-01   5.175E-01   6.792E-02   2.144E-01
  1893    12    10   2.549E-01   3.569E-01   6.792E-02   2.144E-01
  1893  1893    10   0.000E+00   0.000E+00   6.792E-02   2.144E-01
  1747  1747    11   0.000E+00   0.000E+00   3.905E-02   2.775E-01
  1747    32    11   2.306E-01   3.123E-01   3.905E-02   2.775E-01
  1747     4    11   5.054E-01   6.496E-01   3.905E-02   2.775E-01
    32  1747    11   4.260E-01   4.260E-01   3.905E-02   3.905E-02
    32    32    11   0.000E+00   0.000E+00   3.905E-02   3.905E-02
    32     4    11   2.635E-01   2.635E-01   3.905E-02   3.905E-02
     4  1747    11   5.689E-01   7.487E-01   3.905E-02   7.930E-01
     4    32    11   1.606E-01   2.376E-01   3.905E-02   7.930E-01
     4     4    11   0.000E+00   0.000E+00   3.905E-02   7.930E-01
    10    10    12   0.000E+00   0.000E+00   6.792E-02   2.144E-01
    10    15    12   2.490E-01   2.950E-01   6.792E-02   2.144E-01
    10    50    12   5.583E-01   6.433E-01   6.792E-02   2.144E-01
    15    10    12   5.750E-01   7.035E-01   6.792E-02   3.795E-01
    15    15    12   0.000E+00   0.000E+00   6.792E-02   3.795E-01
    15    50    12   1.842E-01   2.518E-01   6.792E-02   3.795E-01
    50    10    12   6.989E-01   8.053E-01   6.792E-02   2.144E-01
    50    15    12   9.984E-02   1.299E-01   6.792E-02   2.144E-01
    50    50    12   0.000E+00   0.000E+00   6.792E-02   2.144E-01
  2072  2072    13   0.000E+00   0.000E+00   1.500E-02   4.074E-01
  2072     0    13   2.731E-01   4.176E-01   1.500E-02   4.074E-01
  2072     6    13   3.906E-01   5.690E-01   1.500E-02   4.074E-01
     0  2072    13   1.502E-01   2.297E-01   1.500E-02   4.074E-01
     0     0    13   0.000E+00   0.000E+00   1.500E-02   4.074E-01
     0     6    13   5.630E-01   7.593E-01   1.500E-02   4.074E-01
     6  2072    13   1.982E-01   2.887E-01   1.500E-02   4.074E-01
     6     0    13   5.194E-01   7.005E-01   1.500E-02   4.074E-01
     6     6    13   0.000E+00   0.000E+00   1.500E-02   4.074E-01
  1327  1327    14   0.000E+00   0.000E+00   3.504E-02   4.826E-01
  1327  1187    14   6.429E-01   7.184E-01   3.504E-02   4.826E-01
  1327  1182    14   2.352E-01   2.727E-01   3.504E-02   4.826E-01
  1187  1327    14   6.998E-01   7.821E-01   3.504E-02   4.826E-01
  1187  1187    14   0.000E+00   0.000E+00   3.504E-02   4.826E-01
  1187  1182    14   1.757E-01   2.088E-01   3.504E-02   4.826E-01
  1182  1327    14   5.005E-01   5.763E-01   3.504E-02   2.910E-01
  1182  1187    14   3.435E-01   4.050E-01   3.504E-02   2.910E-01
  1182  1182    14   0.000E+00   0.000E+00   3.504E-02   2.910E-01
     8     8    15   0.000E+00   0.000E+00   5.291E-02   2.540E-01
     8    34    15   4.084E-01   5.000E-01   5.291E-02   2.540E-01
     8    12    15   3.675E-01   4.533E-01   5.291E-02   2.540E-01
    34     8    15   3.587E-01   4.196E-01   5.291E-02   1.322E-01
    34    34    15   0.000E+00   0.000E+00   5.291E-02   1.322E-01
    34    12    15   4.265E-01   4.944E-01   5.291E-02   1.322E-01
    12     8    15   3.370E-01   3.966E-01   5.291E-02   1.322E-01
    12    34    15   4.453E-01   5.162E-01   5.291E-02   1.322E-01
    12    12    15   0.000E+00   0.000E+00   5.291E-02   1.322E-01
    18    18    16   0.000E+00   0.000E+00   9.828E-01   9.828E-01
    18    30    16   6.486E-01   6.486E-01   9.828E-01   9.828E-01
    18    22    16   3.185E-01   3.185E-01   9.828E-01   9.828E-01
    30    18    16   8.046E-01   8.046E-01   9.828E-01   9.828E-01
    30    30    16   0.000E+00   0.000E+00   9.828E-01   9.828E-01
    30    22    16   1.608E-01   1.608E-01   9.828E-01   9.828E-01
    22    18    16   6.814E-01   6.814E-01   9.828E-01   9.828E-01
    22    30    16   2.772E-01   2.772E-01   9.828E-01   9.828E-01
    22    22    16   0.000E+00   0.000E+00   9.828E-01   9.828E-01
  2073  2073    17   0.000E+00   0.000E+00   3.930E-01   3.930E-01
  2073  1928    17   6.737E-01   6.737E-01   3.930E-01   3.930E-01
  2073     2    17   2.914E-01   2.914E-01   3.930E-01   3.930E-01
  1928  2073    17   4.842E-01   4.842E-01   3.930E-01   3.930E-01
  1928  1928    17   0.000E+00   0.000E+00   3.930E-01   3.930E-01
  1928     2    17   4.842E-01   4.842E-01   3.930E-01   3.930E-01
     2  2073    17   2.914E-01   2.914E-01   3.930E-01   3.930E-01
     2  1928    17   6.737E-01   6.737E-01   3.930E-01   3.930E-01
     2     2    17   0.000E+00   0.000E+00   3.930E-01   3.930E-01
  1746  1746    18   0.000E+00   0.000E+00   5.020E-01   5.020E-01
  1746  1999    18   4.580E-01   4.580E-01   5.020E-01   5.020E-01
  1746    16    18   4.253E-01   4.253E-01   5.020E-01   5.020E-01
  1999  1746    18   3.456E-01   3.456E-01   5.020E-01   5.020E-01
  1999  1999    18   0.000E+00   0.000E+00   5.020E-01   5.020E-01
  1999    16    18   5.481E-01   5.481E-01   5.020E-01   5.020E-01
    16  1746    18   3.297E-01   3.297E-01   5.020E-01   5.020E-01
    16  1999    18   5.632E-01   5.632E-01   5.020E-01   5.020E-01
    16    16    18   0.000E+00   0.000E+00   5.020E-01   5.020E-01
  1995  1995    19   0.000E+00   0.000E+00   1.886E+00   1.886E+00
  1995    20    19   2.290E-01   2.290E-01   1.886E+00   1.886E+00
  1995  2016    19   7.533E-01   7.533E-01   1.886E+00   1.886E+00
    20  1995    19   4.235E-01   4.235E-01   1.886E+00   1.886E+00
    20    20    19   0.000E+00   0.000E+00   1.886E+00   1.886E+00
    20  2016    19   5.547E-01   5.547E-01   1.886E+00   1.886E+00
  2016  1995    19   7.027E-01   7.027E-01   1.886E+00   1.886E+00
  2016    20    19   2.799E-01   2.799E-01   1.886E+00   1.886E+00
  2016  2016    19   0.000E+00   0.000E+00   1.886E+00   1.886E+00
    19    19    20   0.000E+00   0.000E+00   1.943E+00   1.943E+00
    19  1994    20   4.521E-01   4.521E-01   1.943E+00   1.943E+00
    19   111    20   5.338E-01   5.338E-01   1.943E+00   1.943E+00
  1994    19    20   4.521E-01   4.521E-01   1.943E+00   1.943E+00
  1994  1994    20   0.000E+00   0.000E+00   1.943E+00   1.943E+00
  1994   111    20   5.338E-01   5.338E-01   1.943E+00   1.943E+00
   111    19    20   4.931E-01   4.931E-01   1.943E+00   1.943E+00
   111  1994    20   4.931E-01   4.931E-01   1.943E+00   1.943E+00
   111   111    20   0.000E+00   0.000E+00   1.943E+00   1.943E+00
  1474  1474    21   0.000E+00   0.000E+00   3.610E-02   4.854E-01
  1474  1246    21   2.906E-01   3.480E-01   3.610E-02   4.854E-01
  1474  1245    21   5.571E-01   6.407E-01   3.610E-02   4.854E-01
  1246  1474    21   1.955E-01   2.342E-01   3.610E-02   4.854E-01
  1246  1246    21   0.000E+00   0.000E+00   3.610E-02   4.854E-01
  1246  1245    21   6.713E-01   7.559E-01   3.610E-02   4.854E-01
  1245  1474    21   3.128E-01   3.569E-01   3.610E-02   2.739E-01
  1245  1246    21   5.602E-01   6.264E-01   3.610E-02   2.739E-01
  1245  1245    21   0.000E+00   0.000E+00   3.610E-02   2.739E-01
    16    16    22   0.000E+00   0.000E+00   9.828E-01   9.828E-01
    16  1781    22   5.102E-01   5.102E-01   9.828E-01   9.828E-01
    16    31    22   4.742E-01   4.742E-01   9.828E-01   9.828E-01
  1781    16    22   7.939E-01   7.939E-01   9.828E-01   9.828E-01
  1781  1781    22   0.000E+00   0.000E+00   9.828E-01   9.828E-01
  1781    31    22   1.886E-01   1.886E-01   9.828E-01   9.828E-01
    31    16    22   7.822E-01   7.822E-01   9.828E-01   9.828E-01
    31  1781    22   1.999E-01   1.999E-01   9.828E-01   9.828E-01
    31    31    22   0.000E+00   0.000E+00   9.828E-01   9.828E-01
  1748  1748    23   0.000E+00   0.000E+00   5.020E-01   5.020E-01
  1748  1928    23   4.142E-01   4.142E-01   5.020E-01   5.020E-01
  1748  1745    23   5.588E-01   5.588E-01   5.020E-01   5.020E-01
  1928  1748    23   2.366E-01   2.366E-01   5.020E-01   5.020E-01
  1928  1928    23   0.000E+00   0.000E+00   5.020E-01   5.020E-01
  1928  1745    23   7.411E-01   7.411E-01   5.020E-01   5.020E-01
  1745  1748    23   2.945E-01   2.945E-01   5.020E-01   5.020E-01
  1745  1928    23   6.837E-01   6.837E-01   5.020E-01   5.020E-01
  1745  1745    23   0.000E+00   0.000E+00   5.020E-01   5.020E-01
    53    53    24   0.000E+00   0.000E+00   1.711E+00   1.711E+00
    53    59    24   3.572E-01   3.572E-01   1.711E+00   1.711E+00
    53    51    24   6.254E-01   6.254E-01   1.711E+00   1.711E+00
    59    53    24   7.468E-01   7.468E-01   1.711E+00   1.711E+00
    59    59    24   0.000E+00   0.000E+00   1.711E+00   1.711E+00
    59    51    24   2.317E-01   2.317E-01   1.711E+00   1.711E+00
    51    53    24   8.337E-01   8.337E-01   1.711E+00   1.711E+00
    51    59    24   1.477E-01   1.477E-01   1.711E+00   1.711E+00
    51    51    24   0.000E+00   0.000E+00   1.711E+00   1.711E+00
  1554  1554    25   0.000E+00   0.000E+00   5.291E-02   2.540E-01
  1554    31    25   2.530E-01   3.300E-01   5.291E-02   2.540E-01
  1554  1780    25   5.032E-01   6.182E-01   5.291E-02   2.540E-01
    31  1554    25   1.694E-01   1.694E-01   5.291E-02   5.291E-02
    31    31    25   0.000E+00   0.000E+00   5.291E-02   5.291E-02
    31  1780    25   6.158E-01   6.158E-01   5.291E-02   5.291E-02
  1780  1554    25   2.809E-01   3.293E-01   5.291E-02   1.322E-01
  1780    31    25   5.134E-01   5.879E-01   5.291E-02   1.322E-01
  1780  1780    25   0.000E+00   0.000E+00   5.291E-02   1.322E-01
    28    28    26   0.000E+00   0.000E+00   4.884E-01   4.884E-01
    28    29    26   1.352E-01   1.352E-01   4.884E-01   4.884E-01
    28    57    26   8.344E-01   8.344E-01   4.884E-01   4.884E-01
    29    28    26   1.562E-01   1.562E-01   4.884E-01   4.884E-01
    29    29    26   0.000E+00   0.000E+00   4.884E-01   4.884E-01
    29    57    26   8.120E-01   8.120E-01   4.884E-01   4.884E-01
    57    28    26   5.280E-01   5.280E-01   4.884E-01   4.884E-01
    57    29    26   4.447E-01   4.447E-01   4.884E-01   4.884E-01
    57    57    26   0.000E+00   0.000E+00   4.884E-01   4.884E-01
    53    53    27   0.000E+00   0.000E+00   1.612E+00   1.612E+00
    53  2016    27   6.317E-01   6.317E-01   1.612E+00   1.612E+00
    53    28    27   3.480E-01   3.480E-01   1.612E+00   1.612E+00
  2016    53    27   7.558E-01   7.558E-01   1.612E+00   1.612E+00
  2016  2016    27   0.000E+00   0.000E+00   1.612E+00   1.612E+00
  2016    28    27   2.229E-01   2.229E-01   1.612E+00   1.612E+00
    28    53    27   6.353E-01   6.353E-01   1.612E+00   1.612E+00
    28  2016    27   3.402E-01   3.402E-01   1.612E+00   1.612E+00
    28    28    27   0.000E+00   0.000E+00   1.612E+00   1.612E+00
    27    27    28   0.000E+00   0.000E+00   1.516E+00   1.516E+00
    27    26    28   5.345E-01   5.345E-01   1.516E+00   1.516E+00
    27    56    28   4.564E-01   4.564E-01   1.516E+00   1.516E+00
    26    27    28   8.400E-01   8.400E-01   1.516E+00   1.516E+00
    26    26    28   0.000E+00   0.000E+00   1.516E+00   1.516E+00
    26    56    28   1.499E-01   1.499E-01   1.516E+00   1.516E+00
    56    27    28   8.185E-01   8.185E-01   1.516E+00   1.516E+00
    56    26    28   1.710E-01   1.710E-01   1.516E+00   1.516E+00
    56    56    28   0.000E+00   0.000E+00   1.516E+00   1.516E+00
  2016  2016    29   0.000E+00   0.000E+00   1.733E+00   1.733E+00
  2016   124    29   5.292E-01   5.292E-01   1.733E+00   1.733E+00
  2016    26    29   4.634E-01   4.634E-01   1.733E+00   1.733E+00
   124  2016    29   8.577E-01   8.577E-01   1.733E+00   1.733E+00
   124   124    29   0.000E+00   0.000E+00   1.733E+00   1.733E+00
   124    26    29   1.340E-01   1.340E-01   1.733E+00   1.733E+00
    26  2016    29   8.413E-01   8.413E-01   1.733E+00   1.733E+00
    26   124    29   1.501E-01   1.501E-01   1.733E+00   1.733E+00
    26    26    29   0.000E+00   0.000E+00   1.733E+00   1.733E+00
    16    16    30   0.000E+00   0.000E+00   1.929E+00   1.929E+00
    16  1998    30   6.985E-01   6.985E-01   1.929E+00   1.929E+00
    16    39    30   2.832E-01   2.832E-01   1.929E+00   1.929E+00
  1998    16    30   6.985E-01   6.985E-01   1.929E+00   1.929E+00
  1998  1998    30   0.000E+00   0.000E+00   1.929E+00   1.929E+00
  1998    39    30   2.832E-01   2.832E-01   1.929E+00   1.929E+00
    39    16    30   4.890E-01   4.890E-01   1.929E+00   1.929E+00
    39  1998    30   4.890E-01   4.890E-01   1.929E+00   1.929E+00
    39    39    30   0.000E+00   0.000E+00   1.929E+00   1.929E+00
  1745  1745    31   0.000E+00   0.000E+00   2.024E-01   2.024E-01
  1745    22    31   6.145E-01   6.145E-01   2.024E-01   2.024E-01
  1745    25    31   3.206E-01   3.206E-01   2.024E-01   2.024E-01
    22  1745    31   3.417E-01   3.417E-01   2.024E-01   2.024E-01
    22    22    31   0.000E+00   0.000E+00   2.024E-01   2.024E-01
    22    25    31   6.043E-01   6.043E-01   2.024E-01   2.024E-01
    25  1745    31   2.149E-01   2.264E-01   2.024E-01   5.867E-01
    25    22    31   7.284E-01   7.541E-01   2.024E-01   5.867E-01
    25    25    31   0.000E+00   0.000E+00   2.024E-01   5.867E-01
    11    11    32   0.000E+00   0.000E+00   2.024E-01   8.451E-01
